"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Sergio Massa a presidente por Unión por la Patria.",0.283,0.28,0.287,0.287,0.328,0.305,0.186,0.274,0.287,0.284,0.097,0.251,0.776,0.11,0.405,0.305,0.275,0.245,0.311,0.236,0.359
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.403,0.342,0.456,0.28,0.277,0.449,0.651,0.377,0.431,0.39,0.656,0.442,0.123,0.071,0.013,0.303,0.398,0.464,0.45,0.46,0.341
"Javier Milei a presidente por la Libertad Avanza",0.216,0.274,0.165,0.298,0.273,0.185,0.094,0.245,0.203,0.216,0.187,0.226,0.052,0.803,0.094,0.291,0.205,0.208,0.131,0.174,0.243
"Myriam Bregman a presidenta por el Frente de Izquierda",0.026,0.024,0.028,0.042,0.037,0.012,0.011,0.021,0.009,0.041,0.016,0.007,0.008,0.014,0.296,0.021,0.033,0.018,0.027,0.042,0.017
"Juan Schiaretti a presidente por Hacemos por Nuestro País",0.024,0.032,0.016,0.06,0.022,0.009,0.014,0.02,0.012,0.035,0.014,0.029,0.017,0,0.054,0.019,0.032,0.034,0,0.026,0.007
"En blanco",0.019,0.027,0.013,0.033,0.02,0.011,0.017,0.021,0.024,0.015,0.008,0.018,0.006,0.002,0.087,0.017,0.036,0.004,0.077,0.01,0.015
"No sabe",0.029,0.021,0.035,0,0.043,0.029,0.027,0.042,0.034,0.019,0.022,0.027,0.018,0,0.051,0.044,0.021,0.027,0.004,0.052,0.018
