"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Federico Meca a intendente por Unión por la Patria.",0.272,0.262,0.282,0.276,0.332,0.279,0.171,0.271,0.269,0.276,0.095,0.224,0.787,0.097,0.394,0.295,0.276,0.228,0.273,0.214,0.356
"Ramón Lanus a intendente por Juntos por el Cambio",0.498,0.446,0.544,0.435,0.367,0.554,0.684,0.458,0.505,0.508,0.783,0.511,0.13,0.143,0.067,0.451,0.491,0.556,0.539,0.538,0.423
"Rodolfo Paolucci a intendente por la Libertad Avanza",0.176,0.229,0.129,0.215,0.246,0.128,0.092,0.21,0.173,0.165,0.105,0.198,0.068,0.744,0.24,0.189,0.163,0.172,0.158,0.171,0.196
"Camila Paiz a intendenta por el Frente de Izquierda",0.026,0.026,0.025,0.045,0.028,0.018,0.017,0.036,0.015,0.03,0.008,0.029,0.005,0,0.267,0.047,0.024,0.025,0.019,0.04,0.006
"En blanco",0.028,0.037,0.02,0.029,0.027,0.021,0.036,0.025,0.038,0.021,0.009,0.038,0.01,0.016,0.032,0.018,0.046,0.019,0.011,0.037,0.019
