"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Si",0.435,0.456,0.417,0.474,0.457,0.414,0.393,0.45,0.421,0.441,0.471,0.521,0.174,0.42,0.54,0.471,0.507,0.424,0.367,0.375,0.398
"No",0.565,0.544,0.583,0.526,0.543,0.586,0.607,0.55,0.579,0.559,0.529,0.479,0.826,0.58,0.46,0.529,0.493,0.576,0.633,0.625,0.602
