"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Juntos","FdT","Izquierda","Liberales","Otro","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de todos",0.335,0.322,0.347,0.369,0.348,0.304,0.288,0.406,0.302,0.291,0.633,0.064,0.129,0.096,0.772,0.261,0.01,0.183,0.041,0.183
"A Santilli y Manes por Juntos",0.404,0.411,0.398,0.308,0.369,0.48,0.551,0.317,0.427,0.491,0.165,0.803,0.575,0.82,0.132,0.105,0.135,0.268,0.122,0.288
"A Del Caño por el Frente de Izquierda",0.034,0.03,0.037,0.021,0.038,0.04,0.036,0.033,0.029,0.043,0.037,0.009,0.023,0.01,0.014,0.423,0.004,0.005,0.017,0
"A Espert por Avanza libertad",0.075,0.107,0.046,0.154,0.058,0.043,0.027,0.033,0.103,0.087,0.016,0.092,0.067,0.023,0.007,0.025,0.722,0.126,0.039,0.074
"A Randazo por “Vamos con vos""",0.017,0.021,0.012,0.004,0.022,0.025,0.013,0.014,0.021,0.014,0.028,0.003,0.03,0.013,0.006,0.005,0,0.095,0.025,0.04
"A Hotton por “+Valores”",0.02,0.011,0.028,0.029,0.031,0.003,0,0.029,0.015,0.015,0.013,0.005,0,0.002,0.005,0.006,0.083,0.125,0.021,0.043
"Votaría en blanco o anularía",0.115,0.098,0.132,0.115,0.134,0.105,0.085,0.168,0.103,0.059,0.108,0.024,0.176,0.036,0.064,0.175,0.046,0.198,0.735,0.372
