"var","categoria","Inflación","Inseguridad","Pandemia","Educación","Transporte público","Desempleo","Corrupción","Vivienda","Otros","No sabe"
"P11","Mejor",0.133,0.169,0.316,0.091,0.243,0.148,0.028,0.389,0.246,0.067
"P11","Peor",0.257,0.26,0.193,0.35,0.047,0.187,0.175,0.245,0.044,0.192
"P11","Mucho peor",0.418,0.382,0.283,0.211,0.119,0.373,0.649,0.042,0.3,0.289
"P11","No sabe",0.034,0.078,0.097,0.209,0.414,0.108,0.123,0.282,0.113,0.423
"P12","Mucho mejor",0.218,0.325,0.158,0.206,0.173,0.13,0.059,0.371,0.263,0.098
"P12","Mejor",0.217,0.202,0.451,0.228,0.075,0.347,0.179,0.204,0.387,0.27
"P12","Peor",0.254,0.133,0.099,0.177,0.141,0.271,0.2,0.059,0.098,0.35
"P12","Mucho peor",0.263,0.22,0.248,0.224,0.233,0.193,0.335,0.011,0.119,0.036
"P12","No sabe",0.048,0.12,0.044,0.165,0.378,0.059,0.227,0.355,0.133,0.246
"P13","Mucho mejor",0.207,0.347,0.249,0,0,0.271,0.028,0.242,0.129,0.146
"P13","Mejor",0.27,0.194,0.503,0.539,0.083,0.476,0.07,0.468,0.429,0.517
"P13","Peor",0.347,0.176,0.161,0.251,0.819,0.203,0.471,0.08,0.185,0
"P13","Mucho peor",0.112,0.192,0.068,0.136,0,0.05,0.344,0,0,0
"P13","No sabe",0.064,0.091,0.019,0.074,0.098,0,0.087,0.21,0.257,0.337
"P14","Mucho mejor",0.12,0.111,0.286,0.438,0.39,0,0.115,0,0.213,0
"P14","Mejor",0.192,0.545,0.426,0.385,0,0.398,0,0.39,0.279,0.252
"P14","Peor",0.32,0.27,0.044,0.141,0,0.132,0.339,0,0,0
"P14","Mucho peor",0.331,0.048,0.244,0.036,0,0.339,0.546,0.259,0.286,0
"P14","No sabe",0.037,0.026,0,0,0.61,0.131,0,0.351,0.222,0.748
"P15","Muy buena",0.178,0.299,0.34,0.152,0.287,0.408,0.021,0.317,0.081,0.137
"P15","Buena",0.222,0.197,0.201,0.313,0.069,0.262,0.128,0.59,0.423,0.121
"P15","Mala",0.251,0.095,0.132,0.052,0.131,0.155,0.101,0.054,0.018,0
"P15","Muy mala",0.332,0.359,0.272,0.268,0,0.136,0.692,0.031,0.274,0.235
"P15","No sabe",0.017,0.05,0.055,0.215,0.513,0.039,0.058,0.008,0.204,0.507
"P16","Muy buena",0.322,0.418,0.488,0.269,0.212,0.357,0.182,0.878,0.335,0.273
"P16","Buena",0.249,0.234,0.177,0.438,0.256,0.281,0.075,0.07,0.498,0.25
"P16","Mala",0.218,0.082,0.213,0.069,0,0.07,0.301,0,0.091,0
"P16","Muy mala",0.154,0.18,0.073,0.195,0,0.181,0.23,0.013,0.054,0.031
"P16","No sabe",0.057,0.086,0.049,0.029,0.532,0.111,0.212,0.039,0.022,0.446
"P17","Muy buena",0.019,0.028,0.256,0.069,1,0.106,0.14,0.259,0.332,0
"P17","Buena",0.25,0.536,0.156,0.621,0,0.084,0.321,0.482,0.321,0
"P17","Mala",0.101,0.244,0.33,0.083,0,0.335,0.491,0,0,0.033
"P17","Muy mala",0.63,0.083,0.258,0.032,0,0.355,0.048,0.259,0.116,0
"P17","No sabe",0,0.109,0,0.195,0,0.12,0,0,0.231,0.967
"P19","Muy buena",0.11,0.106,0.108,0.031,0,0.018,0.187,0.404,0.062,0
"P19","Buena",0.108,0.047,0.217,0.05,0.116,0.107,0.159,0,0.054,0.106
"P19","Ni buena ni mala",0.238,0.318,0.148,0.481,0.105,0.288,0.228,0.011,0.389,0.167
"P19","Mala",0.264,0.167,0.123,0.178,0.207,0.319,0.151,0.55,0.197,0
"P19","Muy mala",0.276,0.307,0.289,0.129,0.028,0.255,0.116,0,0.234,0.111
"P19","No sabe",0.004,0.055,0.115,0.131,0.544,0.013,0.159,0.035,0.064,0.616
"P20","Muy buena",0.234,0.376,0.436,0.102,0.812,0.33,0.025,0.464,0.268,0.231
"P20","Buena",0.159,0.134,0.21,0.152,0.027,0.228,0.14,0.261,0.115,0.078
"P20","Ni buena ni mala",0.224,0.225,0.1,0.284,0.038,0.327,0.071,0.252,0.444,0.239
"P20","Mala",0.212,0.078,0.041,0.13,0.123,0.033,0.169,0.023,0.026,0
"P20","Muy mala",0.166,0.152,0.149,0.19,0,0.082,0.535,0,0.147,0.341
"P20","No sabe",0.005,0.035,0.064,0.142,0,0,0.06,0,0,0.111
"P21","Muy buena",0.306,0.445,0.416,0.149,0.746,0.569,0.015,0.545,0.414,0.396
"P21","Buena",0.091,0.077,0.101,0.136,0.073,0.082,0.107,0.278,0.196,0.03
"P21","Ni buena ni mala",0.153,0.066,0.056,0.357,0.039,0.205,0.139,0.059,0.205,0.042
"P21","Mala",0.146,0.18,0.092,0.01,0.028,0.055,0.025,0.108,0.106,0
"P21","Muy mala",0.303,0.155,0.263,0.344,0.114,0.071,0.672,0.01,0.079,0.049
"P21","No sabe",0.001,0.077,0.072,0.004,0,0.018,0.042,0,0,0.483
"P22","Muy buena",0.127,0.297,0.141,0.139,0.112,0.03,0.232,0.038,0,0
"P22","Buena",0.144,0.173,0.167,0.136,0.07,0.166,0.281,0.012,0.396,0
"P22","Ni buena ni mala",0.249,0.348,0.234,0.384,0.256,0.307,0.238,0.121,0.277,0.206
"P22","Mala",0.167,0.043,0.177,0.125,0.026,0.059,0.082,0,0.067,0
"P22","Muy mala",0.113,0.038,0.093,0.037,0,0.028,0.009,0,0.034,0.039
"P22","No sabe",0.2,0.101,0.188,0.179,0.536,0.41,0.158,0.829,0.226,0.755
"P23","Muy buena",0.075,0.225,0.131,0.03,0,0.047,0.014,0,0.157,0
"P23","Buena",0.2,0.085,0.223,0.192,0,0.359,0.151,0,0.339,0.009
"P23","Ni buena ni mala",0.284,0.323,0.265,0.355,0.394,0.281,0.147,0.146,0.241,0.285
"P23","Mala",0.179,0.159,0.192,0.162,0.112,0.027,0.081,0.034,0.014,0
"P23","Muy mala",0.239,0.16,0.11,0.225,0,0.028,0.549,0,0.08,0
"P23","No sabe",0.023,0.048,0.079,0.036,0.494,0.258,0.058,0.82,0.169,0.706
"P24","Muy buena",0.124,0.247,0.078,0.187,0.107,0.016,0.387,0,0.055,0
"P24","Buena",0.075,0.08,0.123,0.092,0,0.051,0.067,0.011,0.15,0
"P24","Ni buena ni mala",0.238,0.334,0.303,0.352,0.356,0.355,0.261,0.051,0.319,0.235
"P24","Mala",0.158,0.031,0.078,0.212,0,0.115,0.209,0.068,0.072,0
"P24","Muy mala",0.276,0.24,0.215,0.074,0.025,0.128,0.028,0.036,0.28,0.048
"P24","No sabe",0.129,0.068,0.203,0.083,0.512,0.335,0.048,0.834,0.124,0.717
"P25","Muy buena",0.149,0.32,0.209,0.278,0.109,0.168,0.424,0.041,0.052,0
"P25","Buena",0.097,0.137,0.08,0.308,0,0.043,0.128,0,0.236,0
"P25","Ni buena ni mala",0.325,0.149,0.293,0.228,0.321,0.258,0.274,0.387,0.368,0.286
"P25","Mala",0.114,0.167,0.082,0.051,0,0.136,0.117,0.055,0.028,0
"P25","Muy mala",0.186,0.137,0.221,0.081,0.027,0.071,0.007,0,0.232,0.053
"P25","No sabe",0.129,0.09,0.115,0.054,0.543,0.324,0.05,0.517,0.084,0.661
"P26","Muy buena",0.314,0.499,0.521,0.317,0.679,0.388,0.116,0.894,0.6,0.634
"P26","Buena",0.231,0.176,0.161,0.263,0.25,0.205,0.095,0.081,0.18,0.051
"P26","Ni buena ni mala",0.169,0.178,0.153,0.114,0.071,0.222,0.454,0.012,0.137,0.102
"P26","Mala",0.068,0.037,0.142,0.095,0,0.072,0.068,0.013,0.028,0
"P26","Muy mala",0.18,0.103,0.016,0.21,0,0.075,0.239,0,0.055,0.112
"P26","No sabe",0.038,0.007,0.007,0.001,0,0.038,0.028,0,0,0.101
"P27","Muy buena",0.045,0.27,0.122,0.087,0.53,0.118,0.022,0.09,0.027,0
"P27","Buena",0.212,0.203,0.251,0.273,0.139,0.184,0.042,0,0.21,0
"P27","Ni buena ni mala",0.431,0.285,0.539,0.374,0.331,0.175,0.405,0.62,0.5,0.417
"P27","Mala",0.026,0.102,0.007,0.049,0,0.064,0.051,0,0,0
"P27","Muy mala",0.132,0.011,0.039,0.066,0,0.083,0.291,0.03,0.035,0
"P27","No sabe",0.154,0.129,0.042,0.151,0,0.376,0.189,0.26,0.228,0.583
"P28","Muy buena",0.01,0.112,0.097,0.14,0,0,0.166,0,0,0
"P28","Buena",0.059,0.071,0.065,0.202,0,0.005,0.076,0,0.018,0
"P28","Ni buena ni mala",0.45,0.409,0.38,0.254,0.798,0.308,0.345,0.193,0.414,0.227
"P28","Mala",0.055,0.05,0.129,0.051,0,0.017,0.076,0,0.045,0.015
"P28","Muy mala",0.08,0.025,0.122,0.026,0.054,0.059,0.121,0,0.045,0
"P28","No sabe",0.346,0.333,0.207,0.327,0.148,0.611,0.216,0.807,0.478,0.758
"P29","Muy buena",0.033,0.192,0,0.028,0,0.008,0.06,0,0,0
"P29","Buena",0.117,0.031,0.133,0.285,0.154,0.079,0.258,0,0.211,0
"P29","Ni buena ni mala",0.368,0.615,0.36,0.196,0.717,0.248,0.271,0.56,0.494,0.245
"P29","Mala",0.088,0.051,0.099,0.044,0,0.027,0.009,0,0.131,0
"P29","Muy mala",0.097,0.024,0.179,0.012,0.054,0.045,0.026,0,0.024,0
"P29","No sabe",0.297,0.087,0.229,0.435,0.075,0.593,0.376,0.44,0.14,0.755
"P30","Muy buena",0.054,0.135,0.04,0.108,0,0,0.266,0,0.02,0.161
"P30","Buena",0.233,0.247,0.152,0.215,0,0.055,0.215,0,0.211,0
"P30","Ni buena ni mala",0.277,0.365,0.332,0.182,0.87,0.351,0.138,0.628,0.469,0.113
"P30","Mala",0.135,0.078,0.181,0.155,0,0.048,0.075,0,0.034,0
"P30","Muy mala",0.122,0.031,0.136,0.012,0.054,0.043,0.166,0,0.024,0
"P30","No sabe",0.179,0.144,0.159,0.328,0.076,0.503,0.14,0.372,0.242,0.726
"P31","Muy buena",0.089,0.129,0.087,0.023,0,0,0.102,0,0,0.159
"P31","Buena",0.132,0.117,0.043,0.289,0.205,0.037,0.118,0.032,0.168,0
"P31","Ni buena ni mala",0.364,0.548,0.64,0.2,0.659,0.312,0.382,0.137,0.312,0.015
"P31","Mala",0.034,0.032,0.019,0.03,0,0.01,0.001,0,0.223,0
"P31","Muy mala",0.099,0.005,0.068,0.012,0.057,0.033,0.101,0,0.026,0
"P31","No sabe",0.282,0.169,0.143,0.446,0.079,0.608,0.296,0.831,0.271,0.826
"P32","Muy buena",0.075,0.115,0.074,0,0,0,0.09,0.056,0.019,0
"P32","Buena",0.043,0.093,0.08,0.193,0,0.012,0.195,0,0,0
"P32","Ni buena ni mala",0.385,0.224,0.595,0.301,0.684,0.314,0.393,0.088,0.244,0.256
"P32","Mala",0.012,0.177,0.008,0.031,0.058,0.016,0,0,0.076,0
"P32","Muy mala",0.087,0.015,0.034,0.031,0,0.048,0,0,0.024,0
"P32","No sabe",0.398,0.376,0.209,0.444,0.258,0.61,0.322,0.856,0.637,0.744
"P33","Muy buena",0.057,0.179,0.08,0.051,0,0.153,0.054,0,0.052,0
"P33","Buena",0.153,0.349,0.011,0.256,0,0.015,0.374,0,0.428,0
"P33","Ni buena ni mala",0.304,0.146,0.452,0.45,0.843,0.315,0.32,0.098,0.239,0.398
"P33","Mala",0.207,0.083,0.309,0.054,0,0.125,0.101,0.22,0.04,0
"P33","Muy mala",0.163,0.1,0.075,0.019,0.061,0.084,0.061,0.016,0.024,0.015
"P33","No sabe",0.116,0.143,0.073,0.17,0.096,0.308,0.09,0.666,0.217,0.587
"P34","Muy buena",0.32,0.6,0.469,0.342,0.189,0.517,0.109,0.712,0.673,0.438
"P34","Buena",0.217,0.087,0.273,0.243,0.062,0.251,0.065,0.017,0.106,0.509
"P34","Ni buena ni mala",0.193,0.087,0.05,0.184,0.565,0.031,0.214,0.117,0.07,0
"P34","Mala",0.13,0.072,0.135,0.032,0.184,0.074,0.019,0.082,0.017,0
"P34","Muy mala",0.109,0.022,0.073,0.173,0,0.006,0.379,0,0.043,0
"P34","No sabe",0.031,0.132,0,0.026,0,0.121,0.214,0.072,0.091,0.053
"P35","Muy buena",0.166,0.319,0.141,0.167,0,0.199,0.013,0,0.313,0.12
"P35","Buena",0.159,0.27,0.239,0.217,0.062,0.221,0.104,0.037,0.325,0
"P35","Ni buena ni mala",0.336,0.183,0.436,0.231,0.564,0.199,0.202,0.678,0.128,0.464
"P35","Mala",0.105,0.029,0.035,0.055,0,0.034,0.088,0.02,0,0
"P35","Muy mala",0.191,0.089,0.073,0.185,0,0.006,0.289,0,0.06,0
"P35","No sabe",0.043,0.11,0.076,0.145,0.374,0.341,0.304,0.265,0.174,0.416
