"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P07","Inflación",0.408,0.283,0.381,0.377,0.101
"P07","Inseguridad",0.099,0.123,0.133,0.119,0.079
"P07","Pandemia",0.099,0.229,0.098,0.087,0.099
"P07","Educación",0.078,0.042,0.112,0.041,0.135
"P07","Transporte público",0.026,0.029,0.004,0.006,0.069
"P07","Desempleo",0.191,0.125,0.111,0.135,0.128
"P07","Corrupción",0.02,0.018,0.079,0.179,0.111
"P07","Vivienda",0.012,0.095,0.042,0.004,0.097
"P07","Otros",0.058,0.039,0.005,0.02,0.025
"P07","No sabe",0.009,0.017,0.035,0.032,0.156
"P08","Gerardo Zamora",0.756,0.792,0.512,0.259,0.623
"P08","Pablo Mirolo",0.078,0.044,0.061,0.086,0.003
"P08","Rodrigo Posse",0,0.017,0.091,0.079,0
"P08","Natalia Neme",0.085,0.021,0.02,0.068,0
"P08","Emilio Rached",0.012,0,0.069,0.095,0.016
"P08","Marcelo Lugones",0,0.02,0.004,0.081,0
"P08","No sabe",0.069,0.106,0.243,0.332,0.358
"P09","Gerardo Zamora",0.592,0.53,0.405,0.259,0.725
"P09","Pablo Mirolo",0.157,0.16,0.183,0.09,0.007
"P09","Rodrigo Posse",0.019,0,0.048,0.073,0
"P09","Natalia Neme",0.101,0.013,0.006,0.111,0.007
"P09","Emilio Rached",0.032,0,0.117,0.097,0
"P09","Marcelo Lugones",0.028,0.033,0.008,0.052,0.004
"P09","No sabe",0.071,0.264,0.233,0.318,0.257
"P10","A los candidatos del Frente Cívico por Santiago",0.786,0.659,0.504,0.185,0.503
"P10","A los candidatos del Frente de Todos",0.051,0.113,0.032,0.077,0.097
"P10","A los candidatos de Cambiemos",0.016,0,0.183,0.301,0.006
"P10","A otros candidatos",0.07,0.024,0.062,0.149,0
"P10","No sabe",0.077,0.204,0.219,0.288,0.394
"P12","Mucho mejor",0.588,0.27,0.166,0.055,0.162
"P12","Mejor",0.185,0.567,0.251,0.131,0.347
"P12","Peor",0.215,0.085,0.37,0.182,0.097
"P12","Mucho peor",0,0.023,0.081,0.551,0.03
"P12","No sabe",0.012,0.055,0.132,0.081,0.364
"P13","Mucho mejor",0.451,0.393,0.126,0.034,0.101
"P13","Mejor",0.376,0.453,0.384,0.158,0.537
"P13","Peor",0.155,0.056,0.365,0.398,0.232
"P13","Mucho peor",0,0,0.004,0.357,0
"P13","No sabe",0.018,0.098,0.121,0.053,0.13
"P14","Mucho mejor",0.524,0.235,0.058,0,0.048
"P14","Mejor",0.259,0.282,0.404,0.265,0.482
"P14","Peor",0.059,0.184,0.355,0.162,0.074
"P14","Mucho peor",0.158,0.083,0.115,0.442,0.049
"P14","No sabe",0,0.216,0.068,0.131,0.347
"P15","Muy buena",0.653,0.418,0.215,0.016,0.153
"P15","Buena",0.26,0.529,0.261,0.033,0.362
"P15","Mala",0.083,0.034,0.219,0.213,0.046
"P15","Muy mala",0.004,0,0.205,0.685,0.104
"P15","No sabe",0,0.019,0.1,0.053,0.335
"P16","Muy buena",0.636,0.502,0.418,0.148,0.349
"P16","Buena",0.198,0.427,0.292,0.104,0.39
"P16","Mala",0.077,0.014,0.113,0.311,0.007
"P16","Muy mala",0,0.015,0.1,0.325,0.018
"P16","No sabe",0.089,0.042,0.077,0.112,0.236
"P17","Muy buena",0.245,0.292,0.067,0,0.182
"P17","Buena",0.412,0.375,0.034,0.241,0.328
"P17","Mala",0.025,0.11,0.701,0.17,0.102
"P17","Muy mala",0.257,0.099,0.176,0.398,0.06
"P17","No sabe",0.061,0.124,0.022,0.191,0.328
"P19","Muy buena",0.028,0.014,0.074,0.185,0.086
"P19","Buena",0.004,0.035,0.077,0.231,0.018
"P19","Ni buena ni mala",0.382,0.138,0.302,0.233,0.222
"P19","Mala",0.161,0.337,0.328,0.144,0.159
"P19","Muy mala",0.425,0.384,0.177,0.139,0.161
"P19","No sabe",0,0.092,0.042,0.068,0.354
"P20","Muy buena",0.53,0.438,0.19,0.114,0.405
"P20","Buena",0.137,0.445,0.149,0.035,0.252
"P20","Ni buena ni mala",0.33,0.081,0.294,0.195,0.211
"P20","Mala",0.003,0.007,0.206,0.195,0.008
"P20","Muy mala",0,0,0.093,0.451,0.025
"P20","No sabe",0,0.029,0.068,0.01,0.099
"P21","Muy buena",0.661,0.548,0.333,0.141,0.466
"P21","Buena",0.099,0.312,0.067,0.01,0.152
"P21","Ni buena ni mala",0.179,0.127,0.162,0.13,0.124
"P21","Mala",0.047,0.003,0.206,0.12,0.022
"P21","Muy mala",0,0.003,0.201,0.559,0.029
"P21","No sabe",0.014,0.007,0.031,0.04,0.207
"P22","Muy buena",0.008,0.037,0.246,0.187,0
"P22","Buena",0.136,0.097,0.102,0.244,0.113
"P22","Ni buena ni mala",0.513,0.417,0.244,0.156,0.172
"P22","Mala",0.123,0.091,0.108,0.139,0.011
"P22","Muy mala",0.156,0.117,0.013,0.04,0.049
"P22","No sabe",0.064,0.241,0.287,0.234,0.655
"P23","Muy buena",0.229,0.088,0.073,0.035,0.041
"P23","Buena",0.208,0.361,0.178,0.114,0.236
"P23","Ni buena ni mala",0.392,0.382,0.289,0.178,0.242
"P23","Mala",0.104,0.028,0.142,0.208,0.009
"P23","Muy mala",0.011,0.007,0.196,0.369,0.062
"P23","No sabe",0.056,0.134,0.122,0.096,0.41
"P24","Muy buena",0.005,0.005,0.163,0.271,0.001
"P24","Buena",0.051,0.03,0.087,0.114,0
"P24","Ni buena ni mala",0.483,0.121,0.297,0.272,0.24
"P24","Mala",0.08,0.188,0.145,0.071,0.219
"P24","Muy mala",0.332,0.382,0.13,0.105,0.064
"P24","No sabe",0.049,0.274,0.178,0.167,0.476
"P25","Muy buena",0.151,0.003,0.254,0.319,0.008
"P25","Buena",0.123,0.073,0.055,0.157,0.046
"P25","Ni buena ni mala",0.311,0.305,0.287,0.235,0.378
"P25","Mala",0.182,0.133,0.152,0.049,0.037
"P25","Muy mala",0.202,0.313,0.078,0.066,0.091
"P25","No sabe",0.031,0.173,0.174,0.174,0.44
"P26","Muy buena",0.586,0.534,0.401,0.178,0.676
"P26","Buena",0.173,0.355,0.164,0.146,0.172
"P26","Ni buena ni mala",0.226,0.082,0.241,0.224,0.034
"P26","Mala",0,0.004,0.059,0.145,0.025
"P26","Muy mala",0.015,0.013,0.111,0.265,0.05
"P26","No sabe",0,0.012,0.024,0.042,0.043
"P27","Muy buena",0.169,0.118,0.099,0.053,0.075
"P27","Buena",0.355,0.277,0.115,0.132,0.136
"P27","Ni buena ni mala",0.322,0.316,0.439,0.364,0.579
"P27","Mala",0.007,0.039,0.056,0.05,0.016
"P27","Muy mala",0.027,0.021,0.07,0.199,0.037
"P27","No sabe",0.12,0.229,0.221,0.202,0.157
"P28","Muy buena",0.043,0.003,0.091,0.063,0
"P28","Buena",0.096,0.026,0.069,0.064,0
"P28","Ni buena ni mala",0.517,0.296,0.336,0.416,0.248
"P28","Mala",0.091,0.084,0.026,0.05,0.026
"P28","Muy mala",0.033,0.092,0.03,0.095,0.089
"P28","No sabe",0.22,0.499,0.448,0.312,0.637
"P29","Muy buena",0,0.018,0.047,0.076,0
"P29","Buena",0.205,0.091,0.078,0.147,0.061
"P29","Ni buena ni mala",0.516,0.353,0.364,0.287,0.463
"P29","Mala",0.067,0.105,0.017,0.074,0.007
"P29","Muy mala",0.062,0.097,0.002,0.107,0.012
"P29","No sabe",0.15,0.336,0.492,0.309,0.457
"P30","Muy buena",0.089,0.034,0.091,0.099,0
"P30","Buena",0.168,0.175,0.204,0.201,0.02
"P30","Ni buena ni mala",0.503,0.298,0.245,0.211,0.525
"P30","Mala",0.07,0.155,0.077,0.091,0.196
"P30","Muy mala",0.09,0.101,0.032,0.127,0.012
"P30","No sabe",0.08,0.237,0.351,0.271,0.247
"P31","Muy buena",0.078,0.013,0.036,0.13,0
"P31","Buena",0.113,0.086,0.137,0.117,0.063
"P31","Ni buena ni mala",0.539,0.476,0.375,0.286,0.319
"P31","Mala",0.045,0.033,0.018,0.029,0.008
"P31","Muy mala",0.041,0.052,0.011,0.112,0.012
"P31","No sabe",0.184,0.34,0.423,0.326,0.598
"P32","Muy buena",0.09,0.054,0.008,0.093,0
"P32","Buena",0.132,0.03,0.106,0.054,0
"P32","Ni buena ni mala",0.473,0.388,0.299,0.349,0.241
"P32","Mala",0.017,0.088,0.028,0.024,0.013
"P32","Muy mala",0.033,0.019,0.017,0.091,0.011
"P32","No sabe",0.255,0.421,0.542,0.389,0.735
"P33","Muy buena",0.05,0.098,0.079,0.109,0.018
"P33","Buena",0.285,0.183,0.154,0.16,0.034
"P33","Ni buena ni mala",0.327,0.388,0.297,0.278,0.338
"P33","Mala",0.117,0.19,0.135,0.15,0.217
"P33","Muy mala",0.145,0.045,0.092,0.127,0.035
"P33","No sabe",0.076,0.096,0.243,0.176,0.358
"P34","Muy buena",0.608,0.681,0.345,0.186,0.645
"P34","Buena",0.14,0.242,0.268,0.15,0.203
"P34","Ni buena ni mala",0.141,0.061,0.155,0.176,0.036
"P34","Mala",0.102,0,0.049,0.163,0
"P34","Muy mala",0.009,0.003,0.055,0.225,0.024
"P34","No sabe",0,0.013,0.128,0.1,0.092
"P35","Muy buena",0.262,0.205,0.174,0.128,0.119
"P35","Buena",0.323,0.398,0.109,0.077,0.236
"P35","Ni buena ni mala",0.285,0.21,0.346,0.274,0.396
"P35","Mala",0.009,0.034,0.099,0.09,0.007
"P35","Muy mala",0.101,0.01,0.074,0.254,0.024
"P35","No sabe",0.02,0.143,0.198,0.177,0.218
