"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.339,0.378,0.101
"P07","Inseguridad",0.113,0.124,0.079
"P07","Pandemia",0.17,0.091,0.099
"P07","Educación",0.058,0.068,0.135
"P07","Transporte público",0.027,0.005,0.069
"P07","Desempleo",0.155,0.126,0.128
"P07","Corrupción",0.019,0.141,0.111
"P07","Vivienda",0.058,0.019,0.097
"P07","Otros",0.047,0.015,0.025
"P07","No sabe",0.014,0.033,0.156
"P08","Gerardo Zamora",0.776,0.355,0.623
"P08","Pablo Mirolo",0.059,0.077,0.003
"P08","Rodrigo Posse",0.009,0.083,0
"P08","Natalia Neme",0.05,0.05,0
"P08","Emilio Rached",0.006,0.085,0.016
"P08","Marcelo Lugones",0.011,0.052,0
"P08","No sabe",0.089,0.298,0.358
"P09","Gerardo Zamora",0.558,0.314,0.725
"P09","Pablo Mirolo",0.158,0.125,0.007
"P09","Rodrigo Posse",0.009,0.064,0
"P09","Natalia Neme",0.053,0.071,0.007
"P09","Emilio Rached",0.014,0.105,0
"P09","Marcelo Lugones",0.031,0.035,0.004
"P09","No sabe",0.177,0.286,0.257
"P10","A los candidatos del Frente Cívico por Santiago",0.716,0.306,0.503
"P10","A los candidatos del Frente de Todos",0.085,0.06,0.097
"P10","A los candidatos de Cambiemos",0.007,0.256,0.006
"P10","A otros candidatos",0.045,0.116,0
"P10","No sabe",0.147,0.262,0.394
"P12","Positiva",0.809,0.275,0.509
"P12","Negativa",0.155,0.625,0.127
"P12","No sabe",0.036,0.1,0.364
"P13","Positiva",0.839,0.336,0.638
"P13","Negativa",0.091,0.58,0.232
"P13","No sabe",0.07,0.084,0.13
"P14","Positiva",0.661,0.327,0.53
"P14","Negativa",0.24,0.562,0.123
"P14","No sabe",0.099,0.111,0.347
"P15","Positiva",0.932,0.212,0.515
"P15","Negativa",0.057,0.717,0.15
"P15","No sabe",0.011,0.071,0.335
"P16","Positiva",0.886,0.425,0.739
"P16","Negativa",0.051,0.476,0.025
"P16","No sabe",0.063,0.099,0.236
"P17","Positiva",0.661,0.197,0.51
"P17","Negativa",0.252,0.665,0.162
"P17","No sabe",0.087,0.138,0.328
"P19","Positiva",0.041,0.316,0.104
"P19","Neutra",0.25,0.259,0.222
"P19","Negativa",0.659,0.367,0.32
"P19","No sabe",0.05,0.058,0.354
"P20","Positiva",0.784,0.223,0.657
"P20","Neutra",0.195,0.233,0.211
"P20","Negativa",0.005,0.512,0.033
"P20","No sabe",0.016,0.032,0.099
"P21","Positiva",0.814,0.245,0.618
"P21","Neutra",0.151,0.142,0.124
"P21","Negativa",0.025,0.576,0.051
"P21","No sabe",0.01,0.037,0.207
"P22","Positiva",0.139,0.399,0.113
"P22","Neutra",0.463,0.19,0.172
"P22","Negativa",0.241,0.157,0.06
"P22","No sabe",0.157,0.254,0.655
"P23","Positiva",0.443,0.189,0.277
"P23","Neutra",0.387,0.221,0.242
"P23","Negativa",0.073,0.484,0.071
"P23","No sabe",0.097,0.106,0.41
"P24","Positiva",0.045,0.332,0.001
"P24","Neutra",0.293,0.282,0.24
"P24","Negativa",0.495,0.215,0.283
"P24","No sabe",0.167,0.171,0.476
"P25","Positiva",0.169,0.411,0.054
"P25","Neutra",0.308,0.255,0.378
"P25","Negativa",0.417,0.16,0.128
"P25","No sabe",0.106,0.174,0.44
"P26","Positiva",0.828,0.42,0.848
"P26","Neutra",0.149,0.23,0.034
"P26","Negativa",0.016,0.315,0.075
"P26","No sabe",0.007,0.035,0.043
"P27","Positiva",0.459,0.196,0.211
"P27","Neutra",0.319,0.393,0.579
"P27","Negativa",0.047,0.202,0.053
"P27","No sabe",0.175,0.209,0.157
"P28","Positiva",0.083,0.14,0
"P28","Neutra",0.405,0.386,0.248
"P28","Negativa",0.15,0.11,0.115
"P28","No sabe",0.362,0.364,0.637
"P29","Positiva",0.156,0.186,0.061
"P29","Neutra",0.432,0.316,0.463
"P29","Negativa",0.166,0.12,0.019
"P29","No sabe",0.246,0.378,0.457
"P30","Positiva",0.232,0.298,0.02
"P30","Neutra",0.397,0.224,0.525
"P30","Negativa",0.21,0.177,0.208
"P30","No sabe",0.161,0.301,0.247
"P31","Positiva",0.143,0.22,0.063
"P31","Neutra",0.506,0.319,0.319
"P31","Negativa",0.085,0.099,0.02
"P31","No sabe",0.266,0.362,0.598
"P32","Positiva",0.15,0.134,0
"P32","Neutra",0.428,0.331,0.241
"P32","Negativa",0.08,0.088,0.024
"P32","No sabe",0.342,0.447,0.735
"P33","Positiva",0.305,0.256,0.052
"P33","Neutra",0.36,0.285,0.338
"P33","Negativa",0.248,0.259,0.252
"P33","No sabe",0.087,0.2,0.358
"P34","Positiva",0.841,0.436,0.848
"P34","Neutra",0.098,0.169,0.036
"P34","Negativa",0.054,0.285,0.024
"P34","No sabe",0.007,0.11,0.092
"P35","Positiva",0.595,0.232,0.355
"P35","Neutra",0.245,0.3,0.396
"P35","Negativa",0.074,0.283,0.031
"P35","No sabe",0.086,0.185,0.218
