"var","categoria","Gerardo Zamora","Pablo Mirolo","Rodrigo Posse","Natalia Neme","Emilio Rached","Marcelo Lugones","No sabe"
"P07","Inflación",0.307,0.338,0.541,0.419,0.418,0.42,0.279
"P07","Inseguridad",0.141,0.171,0.081,0.024,0.126,0.014,0.146
"P07","Pandemia",0.121,0.21,0.132,0.118,0.019,0.011,0.093
"P07","Educación",0.064,0.021,0.203,0.086,0.098,0.044,0.08
"P07","Transporte público",0.029,0.007,0,0,0,0.102,0.005
"P07","Desempleo",0.145,0.243,0.016,0.013,0,0.011,0.111
"P07","Corrupción",0.063,0.002,0.027,0.253,0.327,0.294,0.116
"P07","Vivienda",0.056,0.008,0,0.03,0.008,0.011,0.056
"P07","Otros",0.023,0,0,0.057,0.004,0.093,0.025
"P07","No sabe",0.051,0,0,0,0,0,0.089
"P08","Gerardo Zamora",0.761,0.427,0.075,0.114,0.301,0.209,0.345
"P08","Pablo Mirolo",0.01,0.353,0.074,0.1,0.011,0.066,0.004
"P08","Rodrigo Posse",0,0.063,0.246,0.186,0.313,0.016,0.002
"P08","Natalia Neme",0.033,0,0.06,0.369,0.009,0.083,0.004
"P08","Emilio Rached",0.028,0.045,0.154,0.111,0.196,0.233,0.004
"P08","Marcelo Lugones",0,0.004,0.356,0.016,0.124,0.345,0.01
"P08","No sabe",0.168,0.108,0.035,0.104,0.046,0.048,0.631
"P10","A los candidatos del Frente Cívico por Santiago",0.703,0.502,0.019,0.085,0.144,0.216,0.225
"P10","A los candidatos del Frente de Todos",0.053,0.18,0,0.2,0.024,0,0.045
"P10","A los candidatos de Cambiemos",0.068,0.097,0.781,0.311,0.516,0.404,0.082
"P10","A otros candidatos",0.031,0.044,0.007,0.392,0.173,0.113,0.092
"P10","No sabe",0.145,0.177,0.193,0.012,0.143,0.267,0.556
"P11","Mucho mejor",0.178,0.167,0.061,0.224,0.061,0.12,0.036
"P11","Mejor",0.195,0.209,0,0.035,0,0.17,0.167
"P11","Peor",0.213,0.342,0.27,0.023,0.397,0.06,0.21
"P11","Mucho peor",0.224,0.276,0.669,0.705,0.542,0.633,0.471
"P11","No sabe",0.19,0.006,0,0.013,0,0.017,0.116
"P12","Mucho mejor",0.255,0.184,0.061,0.153,0.192,0.017,0.16
"P12","Mejor",0.322,0.333,0.009,0.094,0.155,0.217,0.234
"P12","Peor",0.188,0.264,0.381,0.197,0.167,0.201,0.185
"P12","Mucho peor",0.13,0.144,0.549,0.514,0.36,0.529,0.24
"P12","No sabe",0.105,0.075,0,0.042,0.126,0.036,0.181
"P13","Mucho mejor",0.326,0.152,0.324,0.038,0,0.053,0.068
"P13","Mejor",0.408,0.349,0.056,0.069,0.232,0.445,0.357
"P13","Peor",0.128,0.234,0.519,0.381,0.366,0.4,0.376
"P13","Mucho peor",0.03,0.148,0.101,0.492,0.364,0.065,0.111
"P13","No sabe",0.108,0.117,0,0.02,0.038,0.037,0.088
"P14","Mucho mejor",0.303,0.132,0,0,0,0,0.049
"P14","Mejor",0.233,0.479,0,0,0,0.474,0.288
"P14","Peor",0.198,0.194,0,0,0,0.081,0.13
"P14","Mucho peor",0.16,0.168,1,1,1,0.232,0.185
"P14","No sabe",0.106,0.027,0,0,0,0.213,0.348
"P15","Muy buena",0.35,0.304,0.019,0.152,0.081,0.015,0.098
"P15","Buena",0.294,0.279,0.034,0.07,0.047,0.225,0.236
"P15","Mala",0.158,0.213,0.08,0.117,0.21,0.118,0.107
"P15","Muy mala",0.113,0.201,0.867,0.65,0.662,0.642,0.376
"P15","No sabe",0.085,0.003,0,0.011,0,0,0.183
"P16","Muy buena",0.534,0.233,0.019,0.163,0.279,0.035,0.267
"P16","Buena",0.264,0.363,0.092,0.077,0.116,0.316,0.237
"P16","Mala",0.084,0.127,0.358,0.365,0.211,0.416,0.151
"P16","Muy mala",0.046,0.181,0.498,0.384,0.24,0.233,0.147
"P16","No sabe",0.072,0.096,0.033,0.011,0.154,0,0.198
"P17","Muy buena",0.158,0.202,0,0,0,0,0.062
"P17","Buena",0.31,0.154,0,0,0,0.8,0.277
"P17","Mala",0.184,0.373,0,0,0,0,0.155
"P17","Muy mala",0.194,0.271,1,1,1,0.2,0.111
"P17","No sabe",0.154,0,0,0,0,0,0.395
"P19","Muy buena",0.072,0.025,0.281,0.091,0.37,0.278,0.052
"P19","Buena",0.037,0.055,0.376,0.298,0.08,0.281,0.156
"P19","Ni buena ni mala",0.236,0.41,0.291,0.29,0.127,0.293,0.214
"P19","Mala",0.261,0.207,0.034,0.124,0.262,0.083,0.216
"P19","Muy mala",0.302,0.281,0.018,0.197,0.161,0.065,0.163
"P19","No sabe",0.092,0.022,0,0,0,0,0.199
"P20","Muy buena",0.47,0.183,0.051,0.036,0.207,0.014,0.131
"P20","Buena",0.21,0.23,0,0.085,0.033,0.052,0.158
"P20","Ni buena ni mala",0.232,0.382,0,0.229,0.028,0.223,0.204
"P20","Mala",0.044,0.138,0.309,0.055,0.249,0.343,0.158
"P20","Muy mala",0.03,0.036,0.64,0.595,0.483,0.368,0.242
"P20","No sabe",0.014,0.031,0,0,0,0,0.107
"P21","Muy buena",0.546,0.328,0.018,0.045,0.212,0.174,0.251
"P21","Buena",0.117,0.134,0,0.189,0.016,0,0.081
"P21","Ni buena ni mala",0.155,0.164,0.034,0.11,0.014,0.038,0.195
"P21","Mala",0.076,0.212,0.141,0.017,0.167,0.069,0.075
"P21","Muy mala",0.063,0.162,0.807,0.639,0.545,0.719,0.284
"P21","No sabe",0.043,0,0,0,0.046,0,0.114
"P22","Muy buena",0.076,0.095,0.45,0.08,0.417,0.267,0.093
"P22","Buena",0.075,0.211,0.501,0.35,0.211,0.485,0.104
"P22","Ni buena ni mala",0.301,0.311,0.031,0.39,0.28,0.225,0.199
"P22","Mala",0.14,0.073,0,0.004,0.009,0.009,0.171
"P22","Muy mala",0.069,0.022,0.018,0.159,0.027,0.014,0.076
"P22","No sabe",0.339,0.288,0,0.017,0.056,0,0.357
"P23","Muy buena",0.132,0.105,0.013,0.046,0.011,0.02,0.022
"P23","Buena",0.236,0.327,0.019,0.097,0.18,0.16,0.109
"P23","Ni buena ni mala",0.32,0.308,0.09,0.192,0.101,0.087,0.314
"P23","Mala",0.102,0.146,0.09,0.419,0.08,0.241,0.086
"P23","Muy mala",0.032,0.094,0.734,0.246,0.592,0.492,0.231
"P23","No sabe",0.178,0.02,0.054,0,0.036,0,0.238
"P24","Muy buena",0.039,0.06,0.732,0.17,0.463,0.271,0.098
"P24","Buena",0.045,0.083,0.177,0.155,0.032,0.214,0.068
"P24","Ni buena ni mala",0.294,0.383,0.056,0.467,0.237,0.21,0.204
"P24","Mala",0.154,0.14,0,0.006,0.041,0.17,0.144
"P24","Muy mala",0.237,0.152,0,0.189,0.174,0.116,0.148
"P24","No sabe",0.231,0.182,0.035,0.013,0.053,0.019,0.338
"P25","Muy buena",0.106,0.206,0.734,0.191,0.545,0.428,0.101
"P25","Buena",0.075,0.1,0.228,0.155,0.093,0.277,0.096
"P25","Ni buena ni mala",0.328,0.292,0.038,0.435,0.279,0.194,0.209
"P25","Mala",0.137,0.137,0,0.051,0.015,0.066,0.103
"P25","Muy mala",0.189,0.061,0,0.168,0.027,0.035,0.133
"P25","No sabe",0.165,0.204,0,0,0.041,0,0.358
"P26","Muy buena",0.632,0.241,0,0.059,0.29,0.179,0.304
"P26","Buena",0.278,0.26,0.123,0.071,0.019,0.094,0.119
"P26","Ni buena ni mala",0.075,0.286,0.125,0.299,0.351,0.235,0.251
"P26","Mala",0,0.131,0.275,0.189,0.03,0.296,0.056
"P26","Muy mala",0.005,0.082,0.46,0.382,0.295,0.178,0.181
"P26","No sabe",0.01,0,0.017,0,0.015,0.018,0.089
"P27","Muy buena",0.088,0.369,0.012,0,0,0,0.03
"P27","Buena",0.25,0.191,0.246,0.126,0.086,0.278,0.082
"P27","Ni buena ni mala",0.412,0.242,0.355,0.627,0.61,0.433,0.266
"P27","Mala",0.038,0.025,0.125,0.028,0.038,0.002,0.044
"P27","Muy mala",0.027,0.087,0.246,0.162,0.213,0.269,0.14
"P27","No sabe",0.185,0.086,0.016,0.057,0.053,0.018,0.438
"P28","Muy buena",0.033,0.044,0.34,0.051,0.179,0,0
"P28","Buena",0.052,0.095,0.171,0.06,0.031,0.211,0.01
"P28","Ni buena ni mala",0.437,0.379,0.393,0.529,0.469,0.566,0.163
"P28","Mala",0.051,0.027,0.044,0.04,0.023,0.144,0.081
"P28","Muy mala",0.061,0.08,0,0.141,0.009,0.045,0.09
"P28","No sabe",0.366,0.375,0.052,0.179,0.289,0.034,0.656
"P29","Muy buena",0.032,0.07,0.053,0.171,0.02,0.036,0.007
"P29","Buena",0.12,0.087,0.092,0.302,0.332,0.294,0.005
"P29","Ni buena ni mala",0.386,0.45,0.293,0.494,0.22,0.565,0.248
"P29","Mala",0.071,0.028,0.219,0,0.033,0,0.061
"P29","Muy mala",0.062,0.069,0.116,0.015,0,0,0.118
"P29","No sabe",0.329,0.296,0.227,0.018,0.395,0.105,0.561
"P30","Muy buena",0.084,0.017,0.043,0.1,0.296,0.272,0
"P30","Buena",0.112,0.248,0.424,0.189,0.528,0.273,0.084
"P30","Ni buena ni mala",0.348,0.434,0.293,0.302,0.086,0.326,0.191
"P30","Mala",0.13,0.047,0.024,0.149,0.006,0.069,0.12
"P30","Muy mala",0.08,0.083,0,0.141,0.057,0.06,0.116
"P30","No sabe",0.246,0.171,0.216,0.119,0.027,0,0.489
"P31","Muy buena",0.051,0.004,0.357,0.155,0.085,0.349,0.008
"P31","Buena",0.1,0.08,0.182,0.169,0.038,0.366,0.1
"P31","Ni buena ni mala",0.408,0.586,0.213,0.411,0.493,0.285,0.196
"P31","Mala",0.038,0.01,0.002,0.019,0.027,0,0.033
"P31","Muy mala",0.031,0.065,0,0.125,0,0,0.134
"P31","No sabe",0.372,0.255,0.246,0.121,0.357,0,0.529
"P32","Muy buena",0.05,0.029,0.133,0.267,0.017,0.042,0.017
"P32","Buena",0.067,0.043,0.087,0.093,0.2,0.141,0.021
"P32","Ni buena ni mala",0.396,0.402,0.472,0.427,0.325,0.578,0.158
"P32","Mala",0.053,0.037,0,0.006,0.005,0,0.025
"P32","Muy mala",0.02,0.071,0.012,0.013,0,0,0.131
"P32","No sabe",0.414,0.418,0.296,0.194,0.453,0.239,0.648
"P33","Muy buena",0.096,0.209,0.027,0.108,0.056,0.015,0.01
"P33","Buena",0.146,0.099,0.085,0.14,0.343,0.68,0.157
"P33","Ni buena ni mala",0.306,0.43,0.756,0.396,0.379,0.154,0.121
"P33","Mala",0.214,0.095,0.098,0.154,0.055,0.128,0.127
"P33","Muy mala",0.047,0.135,0.002,0.197,0.078,0.01,0.188
"P33","No sabe",0.191,0.032,0.032,0.005,0.089,0.013,0.397
"P34","Muy buena",0.579,0.466,0.027,0.06,0.431,0.172,0.272
"P34","Buena",0.266,0.19,0.033,0.082,0.035,0.121,0.203
"P34","Ni buena ni mala",0.112,0.146,0.187,0.178,0.098,0.284,0.136
"P34","Mala",0.007,0.127,0.365,0.419,0.029,0.108,0.043
"P34","Muy mala",0,0.041,0.388,0.261,0.212,0.296,0.144
"P34","No sabe",0.036,0.03,0,0,0.195,0.019,0.202
"P35","Muy buena",0.217,0.188,0.015,0.037,0.286,0.141,0.124
"P35","Buena",0.265,0.165,0.073,0.18,0.088,0.115,0.12
"P35","Ni buena ni mala",0.293,0.39,0.127,0.319,0.261,0.171,0.277
"P35","Mala",0.041,0.032,0.148,0.019,0.076,0.206,0.101
"P35","Muy mala",0.009,0.066,0.637,0.445,0.068,0.303,0.167
"P35","No sabe",0.175,0.159,0,0,0.221,0.064,0.211
