"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Gerardo Zamora",0.696,0.623,0.765,0.793,0.676,0.594,0.665,0.762,0.647,0.607,0.746,0.713,0.666
"Pablo Mirolo",0.066,0.074,0.058,0.058,0.101,0.034,0.023,0.064,0.067,0.068,0.039,0.187,0.061
"Rodrigo Posse",0.059,0.079,0.039,0.034,0.081,0.09,0,0.067,0.045,0.058,0.062,0.006,0.065
"Natalia Neme",0.05,0.035,0.063,0.045,0.054,0.051,0.047,0.039,0.068,0.049,0.041,0.019,0.06
"Emilio Rached",0.074,0.104,0.047,0.06,0.042,0.122,0.141,0.025,0.125,0.119,0.041,0.018,0.101
"Marcelo Lugones",0.055,0.085,0.028,0.01,0.046,0.109,0.124,0.043,0.048,0.099,0.071,0.057,0.047
