"var","categoria","Gerardo Zamora","Pablo Mirolo","Rodrigo Posse","Natalia Neme","Emilio Rached","Marcelo Lugones","No sabe"
"P07","Inflación",0.327,0.408,0.223,0.348,0.283,0.524,0.303
"P07","Inseguridad",0.145,0.173,0.198,0.049,0.077,0.019,0.117
"P07","Pandemia",0.145,0.065,0.2,0.011,0.151,0.166,0.079
"P07","Educación",0.072,0.028,0.147,0.069,0.06,0.038,0.075
"P07","Transporte público",0.01,0,0,0,0.042,0.095,0.025
"P07","Desempleo",0.134,0.288,0,0.026,0.028,0.032,0.12
"P07","Corrupción",0.034,0.038,0.223,0.391,0.337,0.117,0.132
"P07","Vivienda",0.061,0,0,0.008,0,0.009,0.04
"P07","Otros",0.028,0,0.009,0.098,0.022,0,0.024
"P07","No sabe",0.044,0,0,0,0,0,0.085
"P09","Gerardo Zamora",0.635,0.07,0.002,0.315,0.224,0,0.263
"P09","Pablo Mirolo",0.106,0.715,0.158,0,0.107,0.012,0.05
"P09","Rodrigo Posse",0.006,0.047,0.197,0.055,0.118,0.368,0.005
"P09","Natalia Neme",0.014,0.1,0.231,0.521,0.132,0.026,0.024
"P09","Emilio Rached",0.037,0.012,0.392,0.013,0.237,0.201,0.011
"P09","Marcelo Lugones",0.015,0.038,0.011,0.068,0.161,0.321,0.006
"P09","No sabe",0.187,0.018,0.009,0.028,0.021,0.072,0.641
"P10","A los candidatos del Frente Cívico por Santiago",0.7,0.269,0.051,0.126,0.204,0,0.235
"P10","A los candidatos del Frente de Todos",0.061,0.202,0.15,0,0.043,0.044,0.057
"P10","A los candidatos de Cambiemos",0.035,0.171,0.625,0.39,0.511,0.745,0.107
"P10","A otros candidatos",0.031,0.061,0.174,0.484,0.122,0.036,0.089
"P10","No sabe",0.173,0.297,0,0,0.12,0.175,0.512
"P11","Mucho mejor",0.193,0.16,0,0.249,0.029,0,0.036
"P11","Mejor",0.248,0.109,0.052,0.075,0,0.092,0.069
"P11","Peor",0.23,0.219,0.392,0.099,0.287,0.029,0.225
"P11","Mucho peor",0.19,0.507,0.556,0.577,0.652,0.879,0.505
"P11","No sabe",0.139,0.005,0,0,0.032,0,0.165
"P12","Mucho mejor",0.355,0.027,0,0.297,0,0,0.011
"P12","Mejor",0.364,0.276,0.087,0.015,0.029,0.051,0.193
"P12","Peor",0.15,0.37,0.137,0.26,0.342,0.274,0.238
"P12","Mucho peor",0.071,0.251,0.725,0.363,0.431,0.675,0.312
"P12","No sabe",0.06,0.076,0.051,0.065,0.198,0,0.246
"P13","Mucho mejor",0.353,0.05,0,0,0,0,0.021
"P13","Mejor",0.435,0.098,0.176,0.056,0.044,0.176,0.389
"P13","Peor",0.124,0.481,0.093,0.697,0.683,0.518,0.349
"P13","Mucho peor",0.034,0.262,0.731,0,0.178,0.306,0.099
"P13","No sabe",0.054,0.109,0,0.247,0.095,0,0.142
"P14","Mucho mejor",0.207,0.304,0,0,0,0,0.088
"P14","Mejor",0.383,0.225,0,0,0.928,0,0.233
"P14","Peor",0.184,0.133,1,0,0,0.207,0.158
"P14","Mucho peor",0.13,0.338,0,1,0.072,0.533,0.206
"P14","No sabe",0.096,0,0,0,0,0.26,0.315
"P15","Muy buena",0.358,0.315,0,0.245,0.025,0,0.03
"P15","Buena",0.339,0.067,0.157,0.091,0.016,0,0.167
"P15","Mala",0.146,0.32,0.025,0.16,0.063,0.088,0.165
"P15","Muy mala",0.099,0.293,0.818,0.444,0.896,0.87,0.423
"P15","No sabe",0.058,0.005,0,0.06,0,0.042,0.215
"P16","Muy buena",0.576,0.125,0,0.253,0.012,0,0.147
"P16","Buena",0.32,0.178,0.141,0.171,0.114,0.08,0.176
"P16","Mala",0.039,0.215,0.343,0.291,0.479,0.321,0.224
"P16","Muy mala",0.038,0.311,0.511,0.285,0.215,0.469,0.172
"P16","No sabe",0.027,0.171,0.005,0,0.18,0.13,0.281
"P17","Muy buena",0.14,0.239,0,0,0,0,0.114
"P17","Buena",0.309,0.163,1,0,0.914,0,0.231
"P17","Mala",0.261,0,0,0.822,0,0.416,0.13
"P17","Muy mala",0.197,0.495,0,0.178,0.086,0.584,0.17
"P17","No sabe",0.093,0.103,0,0,0,0,0.355
"P19","Muy buena",0.047,0.055,0.421,0.135,0.306,0.337,0.056
"P19","Buena",0.067,0.116,0.259,0.073,0.239,0.42,0.093
"P19","Ni buena ni mala",0.204,0.479,0.258,0.531,0.187,0.143,0.278
"P19","Mala",0.314,0.021,0.012,0.01,0.033,0.087,0.22
"P19","Muy mala",0.3,0.324,0,0.251,0.235,0.013,0.113
"P19","No sabe",0.068,0.005,0.05,0,0,0,0.24
"P20","Muy buena",0.471,0.053,0.052,0.015,0.022,0,0.09
"P20","Buena",0.243,0.138,0.013,0.033,0,0,0.126
"P20","Ni buena ni mala",0.179,0.517,0.087,0.48,0.198,0.062,0.24
"P20","Mala",0.06,0.079,0.229,0.062,0.38,0.12,0.183
"P20","Muy mala",0.026,0.149,0.619,0.41,0.4,0.818,0.27
"P20","No sabe",0.021,0.064,0,0,0,0,0.091
"P21","Muy buena",0.553,0.206,0.068,0.065,0.03,0,0.201
"P21","Buena",0.113,0.04,0,0.317,0,0,0.117
"P21","Ni buena ni mala",0.145,0.265,0,0.109,0.015,0.064,0.195
"P21","Mala",0.061,0.215,0.173,0.054,0.322,0.029,0.092
"P21","Muy mala",0.076,0.233,0.754,0.455,0.633,0.907,0.312
"P21","No sabe",0.052,0.041,0.005,0,0,0,0.083
