"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto","opciones"
"Muy buena",0.226,0.156,0.292,0.262,0.233,0.139,0.258,0.281,0.204,0.121,0.309,0.275,0.174,5
"Buena",0.233,0.186,0.277,0.203,0.227,0.332,0.163,0.217,0.245,0.254,0.25,0.24,0.223,5
"Mala",0.149,0.202,0.099,0.148,0.196,0.11,0.059,0.149,0.176,0.104,0.148,0.19,0.143,5
"Muy mala",0.31,0.364,0.259,0.267,0.263,0.372,0.479,0.241,0.314,0.48,0.219,0.165,0.381,5
"No sabe",0.082,0.092,0.073,0.12,0.081,0.047,0.041,0.112,0.061,0.041,0.074,0.13,0.079,5
"Positiva",0.459,0.342,0.569,0.465,0.46,0.471,0.421,0.498,0.449,0.375,0.559,0.515,0.397,3
"Negativa",0.459,0.566,0.358,0.415,0.459,0.482,0.538,0.39,0.49,0.584,0.367,0.355,0.524,3
"No sabe",0.082,0.092,0.073,0.12,0.081,0.047,0.041,0.112,0.061,0.041,0.074,0.13,0.079,3
