"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Gerardo Zamora",0.494,0.442,0.542,0.508,0.509,0.523,0.35,0.549,0.473,0.387,0.579,0.505,0.445
"Pablo Mirolo",0.059,0.061,0.056,0.055,0.086,0.034,0.023,0.062,0.051,0.065,0.034,0.173,0.055
"Rodrigo Posse",0.049,0.063,0.036,0.031,0.075,0.055,0,0.053,0.039,0.052,0.047,0.001,0.057
"Natalia Neme",0.044,0.031,0.056,0.043,0.041,0.05,0.047,0.039,0.059,0.033,0.033,0.01,0.056
"Emilio Rached",0.05,0.066,0.035,0.017,0.033,0.09,0.133,0.018,0.079,0.084,0.031,0.011,0.066
"Marcelo Lugones",0.038,0.056,0.022,0.005,0.028,0.085,0.087,0.033,0.031,0.064,0.053,0.051,0.028
"No sabe",0.266,0.281,0.253,0.341,0.228,0.163,0.36,0.246,0.268,0.315,0.223,0.249,0.293
