"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.291,0.424,0.07
"P07","Inseguridad",0.129,0.119,0.072
"P07","Pandemia",0.131,0.098,0.075
"P07","Educación",0.08,0.055,0.206
"P07","Transporte público",0.011,0.004,0.092
"P07","Desempleo",0.193,0.084,0.064
"P07","Corrupción",0.032,0.168,0.069
"P07","Vivienda",0.078,0.007,0.004
"P07","Otros",0.029,0.017,0.065
"P07","No sabe",0.026,0.024,0.283
"P08","Gerardo Zamora",0.798,0.281,0.37
"P08","Pablo Mirolo",0.055,0.089,0.004
"P08","Rodrigo Posse",0.019,0.103,0
"P08","Natalia Neme",0.028,0.05,0.028
"P08","Emilio Rached",0.005,0.12,0
"P08","Marcelo Lugones",0,0.072,0.018
"P08","No sabe",0.095,0.285,0.58
"P09","Gerardo Zamora",0.587,0.247,0.436
"P09","Pablo Mirolo",0.163,0.116,0.005
"P09","Rodrigo Posse",0.005,0.089,0
"P09","Natalia Neme",0.03,0.103,0.008
"P09","Emilio Rached",0.02,0.137,0
"P09","Marcelo Lugones",0.015,0.048,0
"P09","No sabe",0.18,0.26,0.551
"P10","A los candidatos del Frente Cívico por Santiago",0.696,0.226,0.331
"P10","A los candidatos del Frente de Todos",0.087,0.064,0.018
"P10","A los candidatos de Cambiemos",0.022,0.316,0.008
"P10","A otros candidatos",0.035,0.145,0.036
"P10","No sabe",0.16,0.249,0.607
"P11","Positiva",0.603,0.037,0.038
"P11","Negativa",0.273,0.927,0.511
"P11","No sabe",0.124,0.036,0.451
"P12","Positiva",0.765,0.197,0.208
"P12","Negativa",0.154,0.731,0.294
"P12","No sabe",0.081,0.072,0.498
"P13","Positiva",0.812,0.225,0.303
"P13","Negativa",0.137,0.725,0.202
"P13","No sabe",0.051,0.05,0.495
"P14","Positiva",0.627,0.43,0.13
"P14","Negativa",0.299,0.57,0.129
"P14","No sabe",0.074,0,0.741
"P16","Positiva",0.914,0.299,0.488
"P16","Negativa",0.022,0.617,0.068
"P16","No sabe",0.064,0.084,0.444
"P17","Positiva",0.551,0.288,0.17
"P17","Negativa",0.341,0.667,0.092
"P17","No sabe",0.108,0.045,0.738
"P19","Positiva",0.088,0.37,0
"P19","Neutra",0.219,0.294,0.209
"P19","Negativa",0.65,0.292,0.165
"P19","No sabe",0.043,0.044,0.626
"P20","Positiva",0.796,0.114,0.23
"P20","Neutra",0.173,0.257,0.277
"P20","Negativa",0.006,0.628,0.208
"P20","No sabe",0.025,0.001,0.285
"P21","Positiva",0.796,0.121,0.396
"P21","Neutra",0.135,0.14,0.208
"P21","Negativa",0.06,0.698,0.052
"P21","No sabe",0.009,0.041,0.344
"P22","Positiva",0.152,0.472,0.011
"P22","Neutra",0.352,0.184,0.286
"P22","Negativa",0.197,0.171,0.014
"P22","No sabe",0.299,0.173,0.689
"P23","Positiva",0.427,0.148,0.047
"P23","Neutra",0.336,0.208,0.294
"P23","Negativa",0.102,0.565,0.051
"P23","No sabe",0.135,0.079,0.608
"P24","Positiva",0.065,0.376,0.028
"P24","Neutra",0.281,0.292,0.177
"P24","Negativa",0.446,0.175,0.239
"P24","No sabe",0.208,0.157,0.556
"P25","Positiva",0.153,0.477,0.059
"P25","Neutra",0.314,0.256,0.257
"P25","Negativa",0.376,0.109,0.146
"P25","No sabe",0.157,0.158,0.538
"P26","Positiva",0.857,0.304,0.568
"P26","Neutra",0.117,0.259,0.236
"P26","Negativa",0.019,0.403,0.046
"P26","No sabe",0.007,0.034,0.15
"P27","Positiva",0.395,0.184,0.026
"P27","Neutra",0.338,0.433,0.402
"P27","Negativa",0.056,0.24,0.042
"P27","No sabe",0.211,0.143,0.53
"P28","Positiva",0.07,0.163,0
"P28","Neutra",0.367,0.415,0.167
"P28","Negativa",0.11,0.145,0.047
"P28","No sabe",0.453,0.277,0.786
"P29","Positiva",0.137,0.213,0
"P29","Neutra",0.426,0.318,0.145
"P29","Negativa",0.109,0.156,0.021
"P29","No sabe",0.328,0.313,0.834
"P30","Positiva",0.235,0.301,0
"P30","Neutra",0.348,0.267,0.131
"P30","Negativa",0.192,0.195,0.087
"P30","No sabe",0.225,0.237,0.782
"P31","Positiva",0.157,0.217,0.112
"P31","Neutra",0.422,0.353,0.155
"P31","Negativa",0.062,0.121,0.022
"P31","No sabe",0.359,0.309,0.711
"P32","Positiva",0.115,0.154,0
"P32","Neutra",0.352,0.369,0.177
"P32","Negativa",0.062,0.102,0.045
"P32","No sabe",0.471,0.375,0.778
"P33","Positiva",0.25,0.272,0.143
"P33","Neutra",0.318,0.322,0.131
"P33","Negativa",0.25,0.276,0.077
"P33","No sabe",0.182,0.13,0.649
"P34","Positiva",0.859,0.334,0.575
"P34","Neutra",0.08,0.2,0.045
"P34","Negativa",0.047,0.348,0.051
"P34","No sabe",0.014,0.118,0.329
"P35","Positiva",0.574,0.161,0.048
"P35","Neutra",0.284,0.312,0.094
"P35","Negativa",0.053,0.354,0.05
"P35","No sabe",0.089,0.173,0.808
