"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto","opciones"
"Mucho mejor",0.13,0.113,0.145,0.145,0.147,0.063,0.146,0.152,0.128,0.074,0.121,0.26,0.113,5
"Mejor",0.158,0.12,0.194,0.116,0.16,0.212,0.177,0.129,0.19,0.184,0.211,0.16,0.129,5
"Peor",0.227,0.189,0.262,0.167,0.261,0.229,0.277,0.248,0.243,0.145,0.288,0.149,0.206,5
"Mucho peor",0.372,0.438,0.312,0.354,0.351,0.444,0.373,0.334,0.342,0.52,0.296,0.352,0.418,5
"No sabe",0.113,0.14,0.087,0.218,0.081,0.052,0.027,0.137,0.097,0.077,0.084,0.079,0.134,5
"Positiva",0.288,0.233,0.339,0.261,0.307,0.275,0.323,0.281,0.318,0.258,0.332,0.42,0.242,3
"Negativa",0.599,0.627,0.574,0.521,0.612,0.673,0.65,0.582,0.585,0.665,0.584,0.501,0.624,3
"No sabe",0.113,0.14,0.087,0.218,0.081,0.052,0.027,0.137,0.097,0.077,0.084,0.079,0.134,3
