"var","categoria","Muy buena","Buena","Mala","Muy mala","No sabe"
"P07","Inflación",0.027,0.168,0.091,0.474,0
"P07","Inseguridad",0.027,0.241,0.148,0.042,0.096
"P07","Pandemia",0.328,0.094,0.268,0.175,0
"P07","Educación",0.06,0.256,0.046,0.015,0.157
"P07","Transporte público",0.186,0,0,0,0
"P07","Desempleo",0.126,0.047,0.253,0.224,0.132
"P07","Corrupción",0.081,0.088,0.181,0.015,0
"P07","Vivienda",0.072,0.063,0,0.038,0
"P07","Otros",0.093,0.043,0,0.017,0.06
"P07","No sabe",0,0,0.013,0,0.555
"P08","Gerardo Zamora",0.564,0.59,0.668,0.421,0.347
"P08","Pablo Mirolo",0.243,0.078,0,0.266,0.096
"P08","Rodrigo Posse",0,0.006,0,0,0
"P08","Natalia Neme",0,0,0.081,0.015,0
"P08","Emilio Rached",0,0.141,0,0.015,0
"P08","Marcelo Lugones",0,0,0.111,0.13,0
"P08","No sabe",0.193,0.185,0.14,0.153,0.557
"P09","Gerardo Zamora",0.492,0.456,0.364,0.321,0.443
"P09","Pablo Mirolo",0.414,0.15,0.486,0.295,0
"P09","Rodrigo Posse",0,0,0,0.13,0
"P09","Natalia Neme",0,0,0,0.043,0
"P09","Emilio Rached",0,0,0,0.067,0
"P09","Marcelo Lugones",0,0.194,0,0.054,0
"P09","No sabe",0.094,0.2,0.15,0.09,0.557
"P10","A los candidatos del Frente Cívico por Santiago",0.847,0.545,0.695,0.341,0.331
"P10","A los candidatos del Frente de Todos",0,0.235,0.034,0.117,0
"P10","A los candidatos de Cambiemos",0,0.012,0.128,0.208,0
"P10","A otros candidatos",0.032,0,0.007,0.062,0
"P10","No sabe",0.121,0.208,0.136,0.272,0.669
"P11","Mucho mejor",0.418,0.331,0.028,0.232,0.096
"P11","Mejor",0.336,0.204,0.08,0.06,0.132
"P11","Peor",0.081,0.02,0.543,0.114,0.025
"P11","Mucho peor",0,0.304,0.29,0.565,0.472
"P11","No sabe",0.165,0.141,0.059,0.029,0.275
"P12","Mucho mejor",0.427,0.407,0.046,0.2,0.096
"P12","Mejor",0.354,0.337,0.542,0.327,0.28
"P12","Peor",0.054,0.095,0.213,0.171,0.025
"P12","Mucho peor",0,0.147,0.152,0.214,0.132
"P12","No sabe",0.165,0.014,0.047,0.088,0.467
"P14","Mucho mejor",0.689,0.2,0,0.072,0.096
"P14","Mejor",0.158,0.665,0.41,0,0.28
"P14","Peor",0.054,0.056,0.448,0.148,0.025
"P14","Mucho peor",0.027,0.065,0.129,0.752,0
"P14","No sabe",0.072,0.014,0.013,0.028,0.599
"P15","Muy buena",0.609,0.225,0.23,0.19,0.377
"P15","Buena",0.217,0.369,0.193,0.14,0
"P15","Mala",0.081,0.203,0.166,0.314,0.132
"P15","Muy mala",0,0.189,0.369,0.356,0
"P15","No sabe",0.093,0.014,0.042,0,0.491
"P16","Muy buena",0.808,0.3,0.23,0.261,0.28
"P16","Buena",0.192,0.581,0.515,0.142,0
"P16","Mala",0,0.012,0.255,0.16,0
"P16","Muy mala",0,0.066,0,0.39,0.132
"P16","No sabe",0,0.041,0,0.047,0.588
"P19","Muy buena",0.031,0.025,0.018,0.254,0
"P19","Buena",0.088,0.153,0.094,0,0
"P19","Ni buena ni mala",0.272,0.529,0.526,0.035,0.333
"P19","Mala",0.369,0.156,0.224,0.304,0.033
"P19","Muy mala",0.127,0.137,0.138,0.407,0.135
"P19","No sabe",0.113,0,0,0,0.499
"P20","Muy buena",0.684,0.257,0.236,0.249,0.393
"P20","Buena",0.284,0.153,0.218,0.229,0
"P20","Ni buena ni mala",0,0.441,0.129,0.256,0.134
"P20","Mala",0,0.105,0.305,0.056,0.136
"P20","Muy mala",0,0.044,0.112,0.21,0.337
"P20","No sabe",0.032,0,0,0,0
"P21","Muy buena",0.762,0.259,0.063,0.227,0.433
"P21","Buena",0.123,0.108,0.301,0.045,0
"P21","Ni buena ni mala",0.083,0.164,0.219,0.345,0.134
"P21","Mala",0,0.224,0.02,0.158,0
"P21","Muy mala",0,0.239,0.397,0.225,0
"P21","No sabe",0.032,0.006,0,0,0.433
"P22","Muy buena",0,0.062,0,0.243,0
"P22","Buena",0.163,0.158,0.077,0,0
"P22","Ni buena ni mala",0.406,0.513,0.618,0.193,0.031
"P22","Mala",0.043,0.113,0,0.137,0
"P22","Muy mala",0,0.059,0.126,0.091,0.039
"P22","No sabe",0.388,0.095,0.179,0.336,0.93
"P23","Muy buena",0.084,0.043,0,0.081,0
"P23","Buena",0.374,0.346,0.274,0.355,0
"P23","Ni buena ni mala",0.471,0.237,0.476,0.208,0.496
"P23","Mala",0,0.131,0.063,0.166,0
"P23","Muy mala",0,0.089,0.14,0.19,0
"P23","No sabe",0.071,0.154,0.047,0,0.504
"P24","Muy buena",0.045,0.093,0.107,0.161,0
"P24","Buena",0,0.25,0.233,0.036,0
"P24","Ni buena ni mala",0.425,0.382,0.478,0.133,0.075
"P24","Mala",0.04,0.062,0,0.162,0.421
"P24","Muy mala",0,0.089,0.039,0.181,0
"P24","No sabe",0.49,0.124,0.143,0.327,0.504
"P25","Muy buena",0,0.041,0.253,0.176,0
"P25","Buena",0,0.328,0.033,0,0
"P25","Ni buena ni mala",0.576,0.437,0.473,0.242,0.055
"P25","Mala",0.043,0.036,0.047,0.098,0.069
"P25","Muy mala",0.055,0.072,0.05,0.19,0.359
"P25","No sabe",0.326,0.086,0.144,0.294,0.517
"P26","Muy buena",1,0.235,0.217,0.317,0
"P26","Buena",0,0.438,0.464,0.073,0
"P26","Ni buena ni mala",0,0.251,0.279,0.336,0.572
"P26","Mala",0,0.051,0.007,0.075,0.069
"P26","Muy mala",0,0,0.033,0.062,0
"P26","No sabe",0,0.025,0,0.137,0.359
"P27","Muy buena",0.956,0.049,0,0.029,0
"P27","Buena",0,0.431,0.02,0.018,0
"P27","Ni buena ni mala",0.044,0.443,0.626,0.038,0.641
"P27","Mala",0,0,0.273,0.063,0
"P27","Muy mala",0,0.045,0.081,0.628,0
"P27","No sabe",0,0.032,0,0.224,0.359
"P28","Muy buena",0.043,0,0,0,0
"P28","Buena",0,0.211,0.321,0.018,0
"P28","Ni buena ni mala",0.543,0.247,0.341,0.27,0.124
"P28","Mala",0,0.074,0.01,0.097,0
"P28","Muy mala",0,0.058,0.04,0.034,0
"P28","No sabe",0.414,0.41,0.288,0.581,0.876
"P29","Muy buena",0,0,0.049,0.02,0
"P29","Buena",0.045,0.371,0.271,0.018,0
"P29","Ni buena ni mala",0.615,0.254,0.421,0.201,0.123
"P29","Mala",0,0.088,0.029,0.059,0
"P29","Muy mala",0,0.013,0.012,0.026,0
"P29","No sabe",0.34,0.274,0.218,0.676,0.877
"P30","Muy buena",0,0.039,0,0.069,0
"P30","Buena",0.046,0.371,0.109,0.064,0
"P30","Ni buena ni mala",0.565,0.265,0.737,0.133,0.123
"P30","Mala",0,0.121,0,0.271,0
"P30","Muy mala",0,0.056,0.024,0.03,0
"P30","No sabe",0.389,0.148,0.13,0.433,0.877
"P31","Muy buena",0,0.044,0,0.142,0
"P31","Buena",0,0.495,0.094,0.038,0
"P31","Ni buena ni mala",0.641,0.164,0.686,0.213,0.124
"P31","Mala",0,0.052,0.032,0.119,0
"P31","Muy mala",0,0.096,0.013,0.006,0
"P31","No sabe",0.359,0.149,0.175,0.482,0.876
"P32","Muy buena",0,0.039,0,0.142,0
"P32","Buena",0,0.268,0.318,0.042,0
"P32","Ni buena ni mala",0.641,0.236,0.281,0.2,0.124
"P32","Mala",0,0.052,0.108,0.046,0
"P32","Muy mala",0,0.013,0.013,0.035,0
"P32","No sabe",0.359,0.392,0.28,0.535,0.876
"P33","Muy buena",0,0.085,0.319,0.524,0.067
"P33","Buena",0.245,0.563,0.011,0.097,0
"P33","Ni buena ni mala",0.637,0.063,0.304,0.09,0.413
"P33","Mala",0,0.091,0.304,0.188,0
"P33","Muy mala",0,0.085,0.025,0.055,0
"P33","No sabe",0.118,0.113,0.037,0.046,0.52
"P34","Muy buena",0.547,0.372,0.256,0.556,0.356
"P34","Buena",0.057,0.5,0.388,0.287,0
"P34","Ni buena ni mala",0.396,0.044,0.276,0.031,0.124
"P34","Mala",0,0.065,0.043,0.05,0
"P34","Muy mala",0,0,0,0.046,0
"P34","No sabe",0,0.019,0.037,0.03,0.52
"P35","Muy buena",0,0.052,0,0.338,0
"P35","Buena",0.279,0.401,0.043,0.093,0
"P35","Ni buena ni mala",0.721,0.31,0.699,0.088,0.577
"P35","Mala",0,0.065,0.044,0.126,0
"P35","Muy mala",0,0,0.012,0.05,0
"P35","No sabe",0,0.172,0.202,0.305,0.423
