"Primera","Segunda","Freq"
"Gerardo Zamora","Gerardo Zamora",192
"Pablo Mirolo","Gerardo Zamora",4
"Rodrigo Posse","Gerardo Zamora",1
"Natalia Neme","Gerardo Zamora",6
"Emilio Rached","Gerardo Zamora",4
"Marcelo Lugones","Gerardo Zamora",0
"No sabe","Gerardo Zamora",31
"Gerardo Zamora","Pablo Mirolo",37
"Pablo Mirolo","Pablo Mirolo",18
"Rodrigo Posse","Pablo Mirolo",3
"Natalia Neme","Pablo Mirolo",0
"Emilio Rached","Pablo Mirolo",3
"Marcelo Lugones","Pablo Mirolo",1
"No sabe","Pablo Mirolo",9
"Gerardo Zamora","Rodrigo Posse",3
"Pablo Mirolo","Rodrigo Posse",2
"Rodrigo Posse","Rodrigo Posse",4
"Natalia Neme","Rodrigo Posse",2
"Emilio Rached","Rodrigo Posse",3
"Marcelo Lugones","Rodrigo Posse",5
"No sabe","Rodrigo Posse",3
"Gerardo Zamora","Natalia Neme",6
"Pablo Mirolo","Natalia Neme",2
"Rodrigo Posse","Natalia Neme",4
"Natalia Neme","Natalia Neme",10
"Emilio Rached","Natalia Neme",6
"Marcelo Lugones","Natalia Neme",2
"No sabe","Natalia Neme",6
"Gerardo Zamora","Emilio Rached",10
"Pablo Mirolo","Emilio Rached",1
"Rodrigo Posse","Emilio Rached",3
"Natalia Neme","Emilio Rached",1
"Emilio Rached","Emilio Rached",7
"Marcelo Lugones","Emilio Rached",9
"No sabe","Emilio Rached",5
"Gerardo Zamora","Marcelo Lugones",8
"Pablo Mirolo","Marcelo Lugones",1
"Rodrigo Posse","Marcelo Lugones",1
"Natalia Neme","Marcelo Lugones",2
"Emilio Rached","Marcelo Lugones",8
"Marcelo Lugones","Marcelo Lugones",6
"No sabe","Marcelo Lugones",5
"Gerardo Zamora","No sabe",56
"Pablo Mirolo","No sabe",1
"Rodrigo Posse","No sabe",1
"Natalia Neme","No sabe",3
"Emilio Rached","No sabe",2
"Marcelo Lugones","No sabe",5
"No sabe","No sabe",131
