"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.32,0.404,0.145
"P07","Inseguridad",0.135,0.096,0.125
"P07","Pandemia",0.154,0.093,0.045
"P07","Educación",0.07,0.069,0.109
"P07","Transporte público",0.01,0.016,0.064
"P07","Desempleo",0.142,0.147,0.072
"P07","Corrupción",0.05,0.118,0.194
"P07","Vivienda",0.049,0.006,0.123
"P07","Otros",0.036,0.013,0.03
"P07","No sabe",0.034,0.038,0.093
"P08","Gerardo Zamora",0.807,0.264,0.276
"P08","Pablo Mirolo",0.043,0.092,0.043
"P08","Rodrigo Posse",0.01,0.106,0.024
"P08","Natalia Neme",0.024,0.052,0.021
"P08","Emilio Rached",0.003,0.098,0.097
"P08","Marcelo Lugones",0.004,0.075,0
"P08","No sabe",0.109,0.313,0.539
"P09","Gerardo Zamora",0.538,0.316,0.4
"P09","Pablo Mirolo",0.138,0.116,0.082
"P09","Rodrigo Posse",0.006,0.087,0
"P09","Natalia Neme",0.032,0.096,0.022
"P09","Emilio Rached",0.052,0.083,0.077
"P09","Marcelo Lugones",0.016,0.053,0.01
"P09","No sabe",0.218,0.249,0.409
"P10","A los candidatos del Frente Cívico por Santiago",0.64,0.275,0.369
"P10","A los candidatos del Frente de Todos",0.071,0.078,0.047
"P10","A los candidatos de Cambiemos",0.031,0.275,0.135
"P10","A otros candidatos",0.038,0.144,0.026
"P10","No sabe",0.22,0.228,0.423
"P11","Positiva",0.515,0.105,0.094
"P11","Negativa",0.357,0.861,0.533
"P11","No sabe",0.128,0.034,0.373
"P13","Positiva",0.921,0.161,0.404
"P13","Negativa",0.04,0.816,0.165
"P13","No sabe",0.039,0.023,0.431
"P14","Positiva",0.678,0.23,0.089
"P14","Negativa",0.283,0.662,0.178
"P14","No sabe",0.039,0.108,0.733
"P15","Positiva",0.765,0.165,0.336
"P15","Negativa",0.198,0.779,0.295
"P15","No sabe",0.037,0.056,0.369
"P16","Positiva",0.905,0.262,0.616
"P16","Negativa",0.053,0.638,0.013
"P16","No sabe",0.042,0.1,0.371
"P17","Positiva",0.503,0.279,0.206
"P17","Negativa",0.41,0.638,0.257
"P17","No sabe",0.087,0.083,0.537
"P19","Positiva",0.096,0.338,0.193
"P19","Neutra",0.256,0.285,0.111
"P19","Negativa",0.612,0.309,0.302
"P19","No sabe",0.036,0.068,0.394
"P20","Positiva",0.694,0.176,0.42
"P20","Neutra",0.22,0.241,0.121
"P20","Negativa",0.08,0.545,0.308
"P20","No sabe",0.006,0.038,0.151
"P21","Positiva",0.666,0.229,0.481
"P21","Neutra",0.147,0.144,0.113
"P21","Negativa",0.151,0.585,0.279
"P21","No sabe",0.036,0.042,0.127
"P22","Positiva",0.205,0.403,0.196
"P22","Neutra",0.316,0.234,0.208
"P22","Negativa",0.202,0.178,0.012
"P22","No sabe",0.277,0.185,0.584
"P23","Positiva",0.415,0.148,0.16
"P23","Neutra",0.316,0.237,0.23
"P23","Negativa",0.157,0.498,0.261
"P23","No sabe",0.112,0.117,0.349
"P24","Positiva",0.102,0.31,0.289
"P24","Neutra",0.273,0.32,0.116
"P24","Negativa",0.411,0.21,0.222
"P24","No sabe",0.214,0.16,0.373
"P25","Positiva",0.161,0.456,0.286
"P25","Neutra",0.355,0.218,0.224
"P25","Negativa",0.328,0.16,0.123
"P25","No sabe",0.156,0.166,0.367
"P26","Positiva",0.883,0.256,0.539
"P26","Neutra",0.091,0.266,0.372
"P26","Negativa",0.017,0.438,0.028
"P26","No sabe",0.009,0.04,0.061
"P27","Positiva",0.335,0.223,0.241
"P27","Neutra",0.388,0.389,0.35
"P27","Negativa",0.086,0.2,0.163
"P27","No sabe",0.191,0.188,0.246
"P28","Positiva",0.082,0.136,0.154
"P28","Neutra",0.407,0.396,0.143
"P28","Negativa",0.115,0.149,0.046
"P28","No sabe",0.396,0.319,0.657
"P29","Positiva",0.133,0.205,0.181
"P29","Neutra",0.384,0.346,0.335
"P29","Negativa",0.13,0.147,0.007
"P29","No sabe",0.353,0.302,0.477
"P30","Positiva",0.268,0.254,0.201
"P30","Neutra",0.31,0.279,0.367
"P30","Negativa",0.198,0.205,0.04
"P30","No sabe",0.224,0.262,0.392
"P31","Positiva",0.176,0.22,0.03
"P31","Neutra",0.409,0.344,0.363
"P31","Negativa",0.066,0.131,0.009
"P31","No sabe",0.349,0.305,0.598
"P32","Positiva",0.113,0.133,0.206
"P32","Neutra",0.351,0.411,0.05
"P32","Negativa",0.066,0.112,0.008
"P32","No sabe",0.47,0.344,0.736
"P33","Positiva",0.271,0.243,0.223
"P33","Neutra",0.321,0.344,0.083
"P33","Negativa",0.272,0.245,0.196
"P33","No sabe",0.136,0.168,0.498
"P34","Positiva",0.889,0.259,0.433
"P34","Neutra",0.036,0.253,0.186
"P34","Negativa",0.046,0.404,0.036
"P34","No sabe",0.029,0.084,0.345
"P35","Positiva",0.565,0.115,0.247
"P35","Neutra",0.219,0.379,0.29
"P35","Negativa",0.075,0.372,0.09
"P35","No sabe",0.141,0.134,0.373
