"var","categoria","A los candidatos del Frente Cívico por Santiago","A los candidatos del Frente de Todos","A los candidatos de Cambiemos","A otros candidatos","No sabe"
"P07","Inflación",0.297,0.469,0.313,0.7,0.236
"P07","Inseguridad",0.141,0.077,0.144,0.055,0.109
"P07","Pandemia",0.146,0.194,0.092,0,0.086
"P07","Educación",0.073,0.086,0.099,0.046,0.076
"P07","Transporte público",0.029,0,0,0,0.023
"P07","Desempleo",0.171,0.12,0.049,0.023,0.142
"P07","Corrupción",0.023,0.004,0.291,0.125,0.145
"P07","Vivienda",0.069,0.031,0.009,0.005,0.034
"P07","Otros",0.026,0.019,0.003,0.046,0.03
"P07","No sabe",0.025,0,0,0,0.119
"P08","Gerardo Zamora",0.781,0.434,0.107,0.191,0.342
"P08","Pablo Mirolo",0.038,0.182,0.068,0.048,0.074
"P08","Rodrigo Posse",0.006,0.114,0.207,0.114,0
"P08","Natalia Neme",0.012,0,0.107,0.262,0
"P08","Emilio Rached",0.025,0.034,0.174,0.082,0.026
"P08","Marcelo Lugones",0,0.022,0.162,0.015,0.024
"P08","No sabe",0.138,0.214,0.175,0.288,0.534
"P09","Gerardo Zamora",0.686,0.33,0.185,0.167,0.251
"P09","Pablo Mirolo",0.137,0.311,0.074,0.065,0.085
"P09","Rodrigo Posse",0.002,0,0.201,0.004,0.032
"P09","Natalia Neme",0.011,0.172,0.117,0.291,0.003
"P09","Emilio Rached",0.021,0.023,0.216,0.142,0.038
"P09","Marcelo Lugones",0.015,0,0.078,0.043,0.033
"P09","No sabe",0.128,0.164,0.129,0.288,0.558
"P11","Mucho mejor",0.228,0.092,0.013,0.11,0.041
"P11","Mejor",0.234,0.25,0,0.047,0.133
"P11","Peor",0.257,0.102,0.265,0.17,0.204
"P11","Mucho peor",0.154,0.403,0.718,0.673,0.44
"P11","No sabe",0.127,0.153,0.004,0,0.182
"P12","Mucho mejor",0.293,0.242,0.014,0.111,0.146
"P12","Mejor",0.354,0.213,0.081,0.101,0.263
"P12","Peor",0.174,0.194,0.308,0.112,0.23
"P12","Mucho peor",0.088,0.277,0.495,0.641,0.169
"P12","No sabe",0.091,0.074,0.102,0.035,0.192
"P13","Mucho mejor",0.311,0.107,0.012,0,0.153
"P13","Mejor",0.42,0.35,0.155,0.211,0.353
"P13","Peor",0.18,0.415,0.458,0.307,0.26
"P13","Mucho peor",0.025,0.128,0.304,0.279,0.094
"P13","No sabe",0.064,0,0.071,0.203,0.14
"P14","Mucho mejor",0.264,0,0,0,0.088
"P14","Mejor",0.347,0.517,0,0.159,0.285
"P14","Peor",0.143,0.373,0.193,0.396,0.101
"P14","Mucho peor",0.147,0.11,0.807,0.445,0.22
"P14","No sabe",0.099,0,0,0,0.306
