"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.683,0.059,0.109,0.063
"P10","Juntos por el Cambio",0.12,0.62,0.036,0.08
"P10","De los liberales libertarios",0.081,0.252,0.582,0.477
"P10","De la Izquierda",0.07,0.033,0.125,0.058
"P10","Hacemos por nuestro país",0.002,0.008,0.044,0.042
"P10","Otro",0.003,0.027,0.042,0.061
"P10","En blanco",0.002,0,0.054,0.032
"P10","No sabe",0.039,0.001,0.008,0.187
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.749,0.062,0.026,0.095
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.08,0.658,0.094,0.057
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.104,0.239,0.704,0.528
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.024,0.018,0.052,0.034
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.011,0.07,0.068
"P20","En blanco",0.005,0.002,0.032,0.033
"P20","No sabe",0.022,0.01,0.022,0.185
"P26","Totalmente seguro",0.808,0.818,0.78,0.581
"P26","Bastante seguro",0.081,0.086,0.059,0.1
"P26","Algo seguro",0.059,0.06,0.095,0.12
"P26","Para nada seguro",0.052,0.036,0.066,0.199
"P27","Tiene Decidido que va a ir a votar",0.974,0.927,0.873,0.817
"P27","Tiene dudas sobre si va a ir a  votar",0.021,0.054,0.058,0.134
"P27","Tiene Decidido que no va a ir a votar",0.005,0.019,0.069,0.049
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.278,0.621,0.044,0.036
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.087,0.329,0.602,0.52
"P29","En blanco",0.397,0.026,0.342,0.036
"P29","No sabe",0.238,0.024,0.012,0.408
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.812,0.125,0.016,0.121
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.091,0.497,0.768,0.578
"P30","En blanco",0.044,0.213,0.161,0.035
"P30","No sabe",0.053,0.165,0.055,0.266
"P38","Inflación",0.42,0.295,0.418,0.187
"P38","Desempleo",0.105,0.016,0.059,0.085
"P38","Corrupción",0.157,0.514,0.329,0.384
"P38","Inseguridad",0.132,0.105,0.047,0.162
"P38","Precio del dólar",0.054,0.016,0.016,0
"P38","Pobreza",0.071,0.036,0.078,0.046
"P38","Narcotráfico",0.008,0.003,0.009,0.065
"P38","Tarifas",0.004,0.009,0,0
"P38","Otro",0.037,0.005,0.041,0.031
"P38","No sabe",0.012,0.001,0.003,0.04
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.679,0.115,0.099,0.065
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.116,0.603,0.13,0.045
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.109,0.193,0.564,0.494
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.031,0.035,0.069,0.089
"GOBERNADOR","En blanco",0.042,0.045,0.116,0.121
"GOBERNADOR","No sabe",0.023,0.009,0.022,0.186
"CORTA_GOBERNADOR","Si",0.155,0.179,0.182,0.217
"CORTA_GOBERNADOR","No",0.845,0.821,0.818,0.783
"P10_imputada","Unión por la Patria",0.704,0.059,0.109,0.169
"P10_imputada","Juntos por el Cambio",0.125,0.62,0.036,0.102
