"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.226,0.082,0.784,0.624
"P10","Juntos por el Cambio",0.616,0.096,0.046,0.068
"P10","De los liberales libertarios",0.076,0.677,0.04,0.045
"P10","De la Izquierda",0.057,0.067,0.076,0.058
"P10","Hacemos por nuestro país",0.006,0.006,0.019,0.015
"P10","Otro",0.006,0.035,0.009,0.037
"P10","En blanco",0.004,0.009,0.016,0.015
"P10","No sabe",0.009,0.028,0.01,0.138
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.293,0.062,0.776,0.65
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.604,0.135,0.05,0.052
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.071,0.748,0.079,0.057
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.006,0.029,0.04,0.051
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.01,0.005,0.034,0.065
"P20","En blanco",0.001,0.012,0.017,0.013
"P20","No sabe",0.015,0.009,0.004,0.112
"P26","Totalmente seguro",0.824,0.815,0.844,0.634
"P26","Bastante seguro",0.075,0.074,0.087,0.105
"P26","Algo seguro",0.062,0.076,0.036,0.09
"P26","Para nada seguro",0.039,0.035,0.033,0.171
"P27","Tiene Decidido que va a ir a votar",0.96,0.955,0.939,0.839
"P27","Tiene dudas sobre si va a ir a  votar",0.033,0.027,0.029,0.133
"P27","Tiene Decidido que no va a ir a votar",0.007,0.018,0.032,0.028
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.43,0.184,0.821,0.742
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.548,0.394,0.031,0.043
"P28","En blanco",0.013,0.244,0.136,0.007
"P28","No sabe",0.009,0.178,0.012,0.208
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.452,0.076,0.777,0.642
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.228,0.858,0.08,0.048
"P30","En blanco",0.176,0.035,0.126,0.032
"P30","No sabe",0.144,0.031,0.017,0.278
"P38","Inflación",0.353,0.323,0.418,0.349
"P38","Desempleo",0.076,0.026,0.088,0.105
"P38","Corrupción",0.356,0.453,0.179,0.15
"P38","Inseguridad",0.138,0.11,0.078,0.152
"P38","Precio del dólar",0.011,0.012,0.056,0.09
"P38","Pobreza",0.028,0.05,0.094,0.085
"P38","Narcotráfico",0.003,0.005,0.012,0.037
"P38","Tarifas",0.009,0,0.007,0
"P38","Otro",0.022,0.015,0.042,0.03
"P38","No sabe",0.004,0.006,0.026,0.002
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.265,0.125,0.705,0.606
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.564,0.167,0.094,0.066
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.096,0.618,0.077,0.054
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.024,0.046,0.047,0.059
"GOBERNADOR","En blanco",0.036,0.035,0.073,0.103
"GOBERNADOR","No sabe",0.015,0.009,0.004,0.112
"CORTA_GOBERNADOR","Si",0.178,0.189,0.14,0.156
"CORTA_GOBERNADOR","No",0.822,0.811,0.86,0.844
"P10_imputada","Unión por la Patria",0.231,0.098,0.786,0.706
"P10_imputada","Juntos por el Cambio",0.617,0.096,0.046,0.096
"P10_imputada","De los liberales libertarios",0.079,0.684,0.049,0.047
"P10_imputada","De la Izquierda",0.057,0.072,0.076,0.069
"P10_imputada","Hacemos por nuestro país",0.006,0.006,0.018,0.015
"P10_imputada","Otro",0.006,0.035,0.009,0.048
"P10_imputada","En blanco",0.004,0.009,0.016,0.019
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.299,0.065,0.778,0.706
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.608,0.14,0.05,0.076
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.076,0.749,0.079,0.076
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.006,0.029,0.042,0.051
