"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Si",0.221,0.224,0.218,0.204,0.221,0.242,0.221,0.277,0.212,0.154,0.205,0.215,0.522,0.21,0.243,0.194,0.236,0.208,0.255,0.294
"No",0.779,0.776,0.782,0.796,0.779,0.758,0.779,0.723,0.788,0.846,0.795,0.785,0.478,0.79,0.757,0.806,0.764,0.792,0.745,0.706
