"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.353,0.343,0.361,0.329,0.385,0.324,0.353,0.306,0.382,0.369,0.607,0.109,0.228,0.379,0.299,0.659,0.567,0.052,0.171,0.072
"Juntos por el Cambio",0.251,0.228,0.272,0.175,0.205,0.327,0.384,0.265,0.218,0.293,0.106,0.516,0.275,0.243,0.269,0.152,0.091,0.744,0.43,0.084
"De los liberales libertarios",0.219,0.274,0.168,0.284,0.227,0.214,0.099,0.227,0.212,0.216,0.146,0.274,0.128,0.22,0.215,0.089,0.175,0.127,0.188,0.66
"De la Izquierda",0.074,0.079,0.07,0.113,0.087,0.039,0.029,0.082,0.079,0.055,0.063,0.039,0.213,0.061,0.102,0.046,0.098,0.03,0.084,0.071
"Hacemos por nuestro país",0.017,0.008,0.026,0.014,0.022,0.01,0.018,0.014,0.023,0.011,0.008,0.02,0.036,0.017,0.016,0.005,0.026,0.007,0.047,0.006
"Otro",0.026,0.028,0.023,0.031,0.016,0.028,0.035,0.03,0.027,0.016,0.014,0.02,0.097,0.021,0.035,0.007,0.012,0.007,0.028,0.058
"En blanco",0.016,0.006,0.026,0.031,0.01,0.009,0.018,0.017,0.017,0.013,0.003,0.002,0.023,0.012,0.025,0,0.014,0.006,0.031,0.018
"No sabe",0.044,0.034,0.054,0.023,0.048,0.049,0.064,0.059,0.042,0.027,0.053,0.02,0,0.047,0.039,0.042,0.017,0.027,0.021,0.031
