"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P26","Totalmente seguro",0.811,0.775,0.812,0.578,0.5,0.103
"P26","Bastante seguro",0.084,0.087,0.067,0.157,0.097,0.263
"P26","Algo seguro",0.056,0.07,0.073,0.114,0.119,0.218
"P26","Para nada seguro",0.049,0.068,0.048,0.151,0.284,0.416
"P27","Tiene Decidido que va a ir a votar",0.94,0.929,0.958,0.735,0.862,0.804
"P27","Tiene dudas sobre si va a ir a  votar",0.045,0.053,0.037,0.153,0.056,0.015
"P27","Tiene Decidido que no va a ir a votar",0.015,0.018,0.005,0.112,0.082,0.181
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.919,0.18,0.233,0.485,0.327,0.271
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.046,0.74,0.296,0.203,0.13,0.072
"P28","En blanco",0.006,0.033,0.267,0.2,0.294,0.306
"P28","No sabe",0.029,0.047,0.204,0.112,0.249,0.351
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.235,0.775,0.107,0.069,0.129,0.032
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.129,0.758,0.252,0.045,0.294
"P29","En blanco",0.449,0.047,0.082,0.37,0.33,0.404
"P29","No sabe",0.279,0.049,0.053,0.309,0.496,0.27
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.871,0.179,0.13,0.331,0.342,0.258
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.033,0.39,0.808,0.026,0.097,0.249
"P30","En blanco",0.04,0.233,0.026,0.339,0.207,0.338
"P30","No sabe",0.056,0.198,0.036,0.304,0.354,0.155
"P38","Inflación",0.44,0.281,0.344,0.145,0.219,0.274
"P38","Desempleo",0.093,0.059,0.027,0.103,0.056,0
"P38","Corrupción",0.127,0.448,0.459,0.571,0.415,0.111
"P38","Inseguridad",0.115,0.129,0.107,0.025,0.167,0.274
"P38","Precio del dólar",0.066,0.002,0.013,0.057,0,0.202
"P38","Pobreza",0.087,0.033,0.023,0.058,0.121,0.106
"P38","Narcotráfico",0.007,0.026,0.003,0.02,0,0
"P38","Tarifas",0.001,0.01,0,0,0,0
"P38","Otro",0.045,0.011,0.017,0.009,0.022,0.033
"P38","No sabe",0.019,0.001,0.007,0.012,0,0
