"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.72,0.097,0.167,0.166
"P10","Juntos por el Cambio",0.128,0.26,0.596,0.476
"P10","De los liberales libertarios",0.068,0.541,0.022,0.025
"P10","De la Izquierda",0.051,0.047,0.093,0.131
"P10","Hacemos por nuestro país",0.003,0.006,0.047,0.025
"P10","Otro",0,0.028,0.029,0.063
"P10","En blanco",0.003,0.007,0.036,0.028
"P10","No sabe",0.027,0.014,0.01,0.086
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.771,0.041,0.161,0.185
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.099,0.321,0.597,0.467
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.065,0.609,0.053,0.067
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.002,0.087,0.081
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.019,0.008,0.053,0.072
"P20","En blanco",0.005,0.008,0.032,0.008
"P20","No sabe",0.021,0.011,0.017,0.12
"P26","Totalmente seguro",0.812,0.816,0.832,0.62
"P26","Bastante seguro",0.098,0.081,0.067,0.061
"P26","Algo seguro",0.062,0.072,0.055,0.05
"P26","Para nada seguro",0.028,0.031,0.046,0.269
"P27","Tiene Decidido que va a ir a votar",0.967,0.922,0.89,0.861
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.062,0.04,0.073
"P27","Tiene Decidido que no va a ir a votar",0.001,0.016,0.07,0.066
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.147,0.217,0.26
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.08,0.464,0.603,0.475
"P28","En blanco",0.003,0.239,0.152,0.053
"P28","No sabe",0.021,0.15,0.028,0.212
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.328,0.242,0.567,0.473
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.672,0.082,0.074
"P29","En blanco",0.419,0.063,0.303,0.041
"P29","No sabe",0.212,0.023,0.048,0.412
"P38","Inflación",0.412,0.313,0.325,0.318
"P38","Desempleo",0.104,0.023,0.054,0.086
"P38","Corrupción",0.141,0.489,0.401,0.381
"P38","Inseguridad",0.128,0.101,0.116,0.127
"P38","Precio del dólar",0.056,0.009,0.05,0
"P38","Pobreza",0.079,0.046,0.042,0.021
"P38","Narcotráfico",0.019,0.004,0.005,0
"P38","Tarifas",0.005,0,0,0.027
"P38","Otro",0.041,0.014,0.007,0.018
"P38","No sabe",0.015,0.001,0,0.022
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.693,0.107,0.122,0.233
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.124,0.345,0.55,0.4
