"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.075,0.572,0.11,0.373,0.24,0.449,0.19
"P09","Diego Santilli",0.549,0.082,0.227,0.113,0.056,0.224,0.247
"P09","Facundo Manes",0.148,0.024,0.08,0.057,0.177,0.035,0.079
"P09","Florencio Randazzo",0.009,0.095,0.042,0.457,0.047,0,0.008
"P09","A los candidatos de la izquierda",0.017,0.042,0,0,0,0.016,0.123
"P09","Jose Luis Espert",0.12,0.036,0.255,0,0,0.077,0.198
"P09","Otros candidatos",0.064,0.044,0.265,0,0.374,0.114,0.099
"P09","Votaría en blanco o anularía",0.018,0.105,0.021,0,0.106,0.085,0.056
