"","Si","Puede ser","No"
"Toloza Paz",0.351,0.164,0.136
"Diego Santilli",0.29,0.249,0.213
"Facundo Manes",0.075,0.069,0.102
"Florencio Randazzo",0.051,0.01,0.012
"A los candidatos de la izquierda",0.033,0.052,0.025
"Jose Luis Espert",0.078,0.067,0.026
"Otros candidatos",0.075,0.182,0.044
"Votaría en blanco o anularía",0.047,0.207,0.442
