"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.418,0.232,0.258,0.045,0.3,0
"P09","Diego Santilli",0.28,0.329,0.25,0.611,0.295,0.083
"P09","Facundo Manes",0.045,0.098,0.175,0.14,0.089,0.099
"P09","Florencio Randazzo",0.045,0.06,0.008,0,0,0
"P09","A los candidatos de la izquierda",0.008,0.086,0.019,0,0,0
"P09","Jose Luis Espert",0.084,0.026,0.191,0.204,0.046,0.027
"P09","Otros candidatos",0.05,0.111,0.07,0,0.027,0.791
"P09","Votaría en blanco o anularía",0.07,0.058,0.029,0,0.243,0
