"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.911,0.847,0.806,0.954,0.78,0.869,0.719,0.422
"Puede ser",0.061,0.104,0.106,0.028,0.173,0.108,0.247,0.263
"No",0.028,0.049,0.088,0.018,0.047,0.023,0.034,0.315
