"var","categoria","Mejor","Igual","Peor","No sabe"
"P09","Toloza Paz",0.749,0.384,0.101,0.371
"P09","Diego Santilli",0.052,0.265,0.388,0.199
"P09","Facundo Manes",0.009,0.093,0.117,0.006
"P09","Florencio Randazzo",0.028,0.058,0.054,0.067
"P09","A los candidatos de la izquierda",0.042,0.015,0.036,0.048
"P09","Jose Luis Espert",0.046,0.027,0.119,0.017
"P09","Otros candidatos",0.044,0.077,0.079,0.126
"P09","Votaría en blanco o anularía",0.03,0.081,0.106,0.166
