"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.176,0.184,0.168,0.263,0.165,0.147,0.129,0.241,0.164,0.121,0.149,0.176,0.185,0.21,0.151,0.191,0.177,0.137,0.222,0.085
"No",0.824,0.816,0.832,0.737,0.835,0.853,0.871,0.759,0.836,0.879,0.851,0.824,0.815,0.79,0.849,0.809,0.823,0.863,0.778,0.915
