"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy seguro",0.118,0.134,0.102,0.116,0.119,0.108,0.13,0.132,0.097,0.132,0.12,0.107,0.106,0.088,0.094,0.081,0.177,0.131,0.066,0.221
"Algo seguro",0.3,0.299,0.301,0.262,0.298,0.296,0.358,0.32,0.307,0.266,0.346,0.29,0.251,0.295,0.343,0.314,0.244,0.433,0.325,0.26
"Seguro",0.128,0.139,0.117,0.113,0.127,0.132,0.147,0.104,0.129,0.154,0.159,0.112,0.102,0.133,0.057,0.102,0.151,0.095,0.154,0.162
"Algo inseguro",0.217,0.203,0.231,0.252,0.201,0.231,0.189,0.198,0.218,0.239,0.205,0.261,0.186,0.194,0.204,0.276,0.225,0.158,0.227,0.188
"Inseguro",0.149,0.138,0.16,0.158,0.155,0.156,0.116,0.132,0.169,0.14,0.114,0.156,0.222,0.179,0.2,0.172,0.122,0.082,0.125,0.111
"Muy inseguro",0.088,0.087,0.089,0.099,0.1,0.077,0.06,0.114,0.08,0.069,0.056,0.074,0.133,0.111,0.102,0.055,0.081,0.101,0.103,0.058
