"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.353,0.132,0.303
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.377,0.226,0.037
"P06","En blanco",0.129,0.335,0.433
"P06","Aun no tengo decidido mi voto",0.141,0.307,0.227
"P08","Totalmente seguro",0.601,0.251,0.111
"P08","Bastante seguro",0.17,0.195,0.133
"P08","Algo seguro",0.087,0.155,0.432
"P08","Para nada seguro",0.142,0.399,0.324
"P10","Lo votaría",0.388,0.144,0.072
"P10","Puede que lo vote",0.101,0.394,0.2
"P10","Nunca lo votaría",0.442,0.199,0.612
"P10","No sabe",0.069,0.263,0.116
"P11","Lo votaría",0.328,0.047,0.261
"P11","Puede que lo vote",0.098,0.425,0.112
"P11","Nunca lo votaría",0.476,0.345,0.622
"P11","No sabe",0.098,0.183,0.005
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.323,0.207,0.406
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.677,0.793,0.594
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.195,0.56,0.088
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.107,0.043,0.602
"P14","En blanco",0.698,0.397,0.31
