"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.324,0.43,0.222,0.505,0.329,0.201,0.091,0.277,0.283,0.455,0.509,0.02,0.009,0.322
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.676,0.57,0.778,0.495,0.671,0.799,0.909,0.723,0.717,0.545,0.491,0.98,0.991,0.678
