"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.404,0.447,0.246,0.103
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.412,0.367,0.276,0.121
"P06","En blanco",0.148,0.102,0.375,0.15
"P06","Aun no tengo decidido mi voto",0.036,0.084,0.103,0.626
"P09","Tiene Decidido que va a ir a votar",0.949,0.855,0.63,0.69
"P09","Tiene dudas sobre si va a ir a  votar",0.036,0.088,0.102,0.175
"P09","Tiene Decidido que no va a ir a votar",0.015,0.057,0.268,0.135
"P10","Lo votaría",0.416,0.463,0.2,0.137
"P10","Puede que lo vote",0.054,0.185,0.179,0.28
"P10","Nunca lo votaría",0.521,0.313,0.544,0.211
"P10","No sabe",0.009,0.039,0.077,0.372
"P11","Lo votaría",0.399,0.284,0.207,0.086
"P11","Puede que lo vote",0.051,0.163,0.301,0.188
"P11","Nunca lo votaría",0.541,0.537,0.435,0.257
"P11","No sabe",0.009,0.016,0.057,0.469
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.388,0.54,0.367,0.057
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.612,0.46,0.633,0.943
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0,0.898,0.072,0.201
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.278,0.064,0.421,0.182
"P14","En blanco",0.722,0.038,0.507,0.617
