"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Llaryora","Juez","De Loredo","Quinteros"
"Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.354,0.338,0.37,0.276,0.323,0.391,0.455,0.286,0.357,0.383,0.057,0.557,0.236,0.172,0.651,0.7,0.18
"Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.303,0.282,0.323,0.414,0.312,0.24,0.264,0.396,0.299,0.263,0.54,0.191,0.27,0.538,0.061,0.089,0.084
"A los candidatos a gobernador e intendente del Frente de Todos",0.1,0.12,0.08,0.138,0.076,0.122,0.089,0.118,0.09,0.099,0.229,0.028,0.076,0.109,0.027,0.013,0.174
"A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.068,0.078,0.059,0.069,0.099,0.035,0.039,0.057,0.071,0.072,0.021,0.078,0.143,0.054,0.102,0.07,0.066
"A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.057,0.077,0.037,0.034,0.063,0.064,0.05,0.074,0.052,0.052,0.04,0.041,0.115,0.038,0.052,0.052,0.423
"A los candidatos a gobernador e intendente del Frente de Izquierda",0.023,0.023,0.022,0.034,0.027,0.021,0.005,0,0.042,0.018,0.05,0.009,0,0.015,0.015,0,0.018
"Votaría en blanco",0.019,0.02,0.019,0,0.017,0.037,0.019,0.01,0.02,0.023,0.021,0.015,0.024,0.01,0.025,0.021,0
"No sabe",0.076,0.062,0.09,0.035,0.083,0.09,0.079,0.059,0.069,0.09,0.042,0.081,0.136,0.064,0.067,0.055,0.055
