"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Lo votaría",0.298,0.302,0.295,0.338,0.295,0.284,0.271,0.345,0.292,0.262,0.297,0.3,0.433,0.252,0.362,0.47,0.151,0.197,0.058,0.113
"Puede que lo vote",0.216,0.204,0.226,0.213,0.231,0.174,0.239,0.224,0.211,0.212,0.21,0.219,0.207,0.206,0.28,0.245,0.157,0.141,0.188,0.237
"Nunca lo votaría",0.469,0.48,0.46,0.439,0.46,0.513,0.474,0.413,0.476,0.516,0.47,0.469,0.35,0.53,0.34,0.276,0.675,0.643,0.739,0.626
"No sabe",0.017,0.014,0.019,0.01,0.014,0.029,0.016,0.018,0.021,0.01,0.023,0.012,0.01,0.012,0.018,0.009,0.017,0.019,0.015,0.024
