var,categoria,A Luis Juez por Juntos por el Cambio,A Daniel Passerini por Hacemos por Cordoba,Al candidato del frente de todos,Al candidato de los liberales libertarios con el apoyo de Javier Milei,A  Juan Pablo Quinteros por Encuentro Vecinal,Al candidato del frente de izquierda,Votaría en blanco,No sabe
P07,Del Frente de Todos y el peronismo,0.087,0.498,0.854,0.034,0.09,0.193,0.296,0.104
P07,De Cambiemos,0.597,0.233,0.072,0.134,0.343,0.025,0.408,0.262
P07,De los Liberales libertarios,0.221,0.104,0.023,0.696,0.149,0.037,0.1,0.255
P07,De la Izquierda,0.011,0.02,0.031,0.053,0.027,0.537,0.016,0.021
P07,Otros,0.048,0.066,0.006,0.01,0.197,0.2,0.014,0.08
P07,No sabe,0.036,0.079,0.014,0.073,0.194,0.008,0.166,0.278
P11,A Juntos por el Cambio,0.639,0.151,0.083,0.158,0.212,0.053,0.412,0.295
P11,Al Frente de Todos,0.086,0.139,0.717,0.004,0.034,0.083,0.122,0.034
P11,A Hacemos por Córdoba,0.124,0.596,0.044,0.151,0.089,0.05,0.118,0.158
P11,A los liberales libertarios de Milei,0.088,0.035,0.087,0.541,0.074,0.034,0.0,0.099
P11,A Encuentro Vecinal Córdoba,0.007,0.019,0.0,0.007,0.376,0.0,0.034,0.046
P11,Al Frente de Izquierda,0.02,0.02,0.007,0.006,0.051,0.772,0.035,0.034
P11,No sabe,0.036,0.04,0.062,0.133,0.164,0.008,0.279,0.334
P42,A Rodrigo De Loredo por Juntos por el Cambio,0.738,0.194,0.067,0.371,0.281,0.024,0.354,0.443
P42,A Daniel Passerini por Hacemos por Cordoba,0.116,0.75,0.062,0.019,0.085,0.0,0.128,0.044
P42,Al candidato del frente de todos,0.037,0.031,0.846,0.057,0.041,0.187,0.0,0.025
P42,Al candidato de los liberales libertarios con el apoyo de Javier Milei,0.027,0.008,0.0,0.444,0.036,0.014,0.0,0.08
P42,A  Juan Pablo Quinteros por Encuentro Vecinal,0.022,0.005,0.015,0.0,0.545,0.034,0.016,0.01
P42,Al candidato del frente de izquierda,0.002,0.003,0.0,0.0,0.0,0.691,0.069,0.026
P42,Votaría en blanco,0.01,0.006,0.005,0.0,0.0,0.05,0.326,0.006
P42,No sabe,0.048,0.003,0.005,0.109,0.012,0.0,0.107,0.366
P46,Lo votaría,0.657,0.191,0.081,0.264,0.35,0.058,0.352,0.409
P46,Puede que lo vote,0.226,0.199,0.015,0.308,0.304,0.183,0.13,0.186
P46,Nunca lo votaría,0.111,0.596,0.904,0.311,0.335,0.72,0.518,0.377
P46,No sabe,0.006,0.014,0.0,0.117,0.011,0.039,0.0,0.028
P47,Lo votaría,0.126,0.739,0.09,0.014,0.086,0.0,0.051,0.031
P47,Puede que lo vote,0.149,0.162,0.365,0.112,0.227,0.133,0.175,0.222
P47,Nunca lo votaría,0.716,0.08,0.545,0.751,0.676,0.833,0.774,0.742
P47,No sabe,0.009,0.019,0.0,0.123,0.011,0.034,0.0,0.005
P48,Lo votaría,0.609,0.196,0.032,0.068,0.056,0.097,0.102,0.021
P48,Puede que lo vote,0.241,0.126,0.122,0.198,0.286,0.034,0.125,0.294
P48,Nunca lo votaría,0.143,0.658,0.846,0.615,0.647,0.852,0.773,0.68
P48,No sabe,0.007,0.02,0.0,0.119,0.011,0.017,0.0,0.005
P49,Lo votaría,0.172,0.062,0.032,0.072,0.465,0.042,0.027,0.036
P49,Puede que lo vote,0.256,0.237,0.27,0.249,0.307,0.086,0.155,0.219
P49,Nunca lo votaría,0.564,0.668,0.663,0.56,0.215,0.872,0.818,0.739
P49,No sabe,0.008,0.033,0.035,0.119,0.013,0.0,0.0,0.006
P50,Lo votaría,0.044,0.164,0.253,0.018,0.059,0.076,0.095,0.081
P50,Puede que lo vote,0.164,0.265,0.383,0.042,0.115,0.148,0.155,0.121
P50,Nunca lo votaría,0.787,0.546,0.352,0.821,0.812,0.776,0.717,0.798
P50,No sabe,0.005,0.025,0.012,0.119,0.014,0.0,0.033,0.0
P51,Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio,0.841,0.113,0.054,0.193,0.35,0.083,0.23,0.503
P51,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,0.106,0.77,0.115,0.006,0.092,0.07,0.096,0.113
P51,A los candidatos a gobernador e intendente del Frente de Todos,0.01,0.053,0.807,0.0,0.017,0.103,0.044,0.031
P51,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,0.014,0.025,0.0,0.582,0.011,0.028,0.0,0.021
P51,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,0.003,0.02,0.017,0.042,0.44,0.0,0.085,0.032
P51,A los candidatos a gobernador e intendente del Frente de Izquierda,0.003,0.002,0.007,0.0,0.033,0.679,0.0,0.046
P51,Votaría en blanco,0.003,0.003,0.0,0.022,0.0,0.037,0.513,0.008
P51,No sabe,0.02,0.014,0.0,0.155,0.057,0.0,0.032,0.246
P52,Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio,0.744,0.113,0.096,0.126,0.192,0.145,0.311,0.284
P52,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,0.096,0.757,0.098,0.024,0.092,0.07,0.102,0.155
P52,A los candidatos a gobernador e intendente del Frente de Todos,0.028,0.052,0.771,0.007,0.017,0.108,0.044,0.012
P52,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,0.035,0.013,0.012,0.609,0.01,0.0,0.0,0.087
P52,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,0.022,0.02,0.016,0.012,0.589,0.0,0.06,0.05
P52,A los candidatos a gobernador e intendente del Frente de Izquierda,0.005,0.0,0.007,0.0,0.025,0.586,0.0,0.04
P52,Votaría en blanco,0.016,0.006,0.0,0.022,0.0,0.091,0.38,0.0
P52,No sabe,0.054,0.039,0.0,0.2,0.075,0.0,0.103,0.372
