"var","categoria","A Luis Juez por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio García Elorrio por Encuentro Vecinal Córdoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.072,0.34,0.809,0.032,0.034,0.234,0.167,0.089
"P07","De Cambiemos",0.631,0.307,0.048,0.116,0.337,0.098,0.232,0.201
"P07","De los Liberales libertarios",0.171,0.117,0.009,0.716,0.188,0.083,0.082,0.063
"P07","De la Izquierda",0.007,0.018,0.068,0.027,0.098,0.405,0.026,0.017
"P07","Otros",0.04,0.096,0.037,0.037,0.249,0.131,0.162,0.096
"P07","No sabe",0.079,0.122,0.029,0.072,0.094,0.049,0.331,0.534
"P08","A Alberto Fernández",0.234,0.154,0.1,0.224,0,0.279,0.217,0.324
"P08","A Sergio Massa",0.244,0.207,0.169,0.133,0.261,0.091,0.114,0.063
"P08","A algún candidato del peronismo",0.489,0.371,0.105,0.588,0.509,0.086,0.123,0.216
"P08","A algún candidato del kirchnerismo",0.033,0.268,0.626,0.055,0.23,0.544,0.546,0.397
"P09","A Alberto Fernández",0.122,0.118,0.064,0.199,0,0.036,0.073,0.263
"P09","A Sergio Massa",0.235,0.138,0.113,0,0,0.034,0,0.063
"P09","A algún candidato del peronismo",0.597,0.288,0.054,0.588,0.453,0.297,0.165,0.223
"P09","A Cristina Fernández de Kirchner",0.046,0.456,0.769,0.213,0.547,0.633,0.762,0.451
"P10","A Horacio Rodriguez Larreta",0.181,0.314,0.169,0.201,0.259,0.446,0.295,0.232
"P10","A Mauricio Macri",0.327,0.299,0.164,0.424,0.15,0.062,0.344,0.352
"P10","A Patricia Bullrich",0.4,0.295,0.25,0.336,0.453,0.027,0.152,0.359
"P10","A Facundo Manes",0.044,0.059,0.145,0.026,0.117,0.025,0.126,0.017
"P10","A Gerardo Morales",0.048,0.033,0.272,0.013,0.021,0.44,0.083,0.04
"P11","A Juntos por el Cambio",0.626,0.195,0.037,0.055,0.214,0.037,0.161,0.128
"P11","Al Frente de Todos",0.056,0.137,0.756,0.033,0.03,0.033,0.088,0.046
"P11","A Hacemos por Córdoba",0.148,0.495,0.064,0.136,0.088,0.057,0.057,0.121
"P11","A los liberales libertarios de Milei",0.061,0.057,0.06,0.73,0.115,0.107,0.089,0.055
"P11","A Encuentro Vecinal Córdoba",0.013,0.02,0.011,0.008,0.414,0.079,0.03,0.016
"P11","Al Frente de Izquierda",0.01,0.018,0.027,0.011,0.008,0.626,0.073,0.105
"P11","No sabe",0.086,0.078,0.045,0.027,0.131,0.061,0.502,0.529
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.626,0.628,0.688,0.929,0.826,0.919,0.568,0.66
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.334,0.127,0.092,0.071,0.09,0.081,0.095,0.031
"P12","No sabe",0.04,0.245,0.22,0,0.084,0,0.337,0.309
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.678,0.177,0.032,0.157,0.285,0.047,0.157,0.141
"P13","A Martín Llaryora por Hacemos por Córdoba",0.132,0.756,0.059,0.021,0.013,0.015,0.076,0.069
"P13","Al candidato del Frente de Todos",0.018,0.018,0.887,0.011,0.004,0.017,0.023,0.014
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.048,0.011,0,0.777,0.023,0.029,0.039,0.008
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.013,0.003,0.001,0.01,0.651,0.028,0.008,0.009
"P13","Al candidato del Frente de Izquierda",0.004,0.004,0.006,0,0,0.813,0,0.004
"P13","Votaría en blanco",0.037,0.005,0.005,0.007,0.004,0.038,0.589,0.06
"P13","No sabe",0.07,0.026,0.01,0.017,0.02,0.013,0.108,0.695
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.792,0.206,0.044,0.121,0.22,0.043,0.111,0.13
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.141,0.657,0.044,0.009,0.017,0.011,0.072,0.078
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.036,0.835,0.005,0.012,0.012,0.06,0.032
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.028,0.011,0.006,0.828,0.028,0.058,0.02,0.019
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.004,0.009,0.003,0.005,0.608,0.057,0.01,0.007
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.004,0.036,0.002,0.004,0.785,0.034,0.002
"P17","Votaría en blanco",0.009,0.017,0.021,0.014,0.034,0.019,0.561,0.043
"P17","No sabe",0.018,0.06,0.011,0.016,0.077,0.015,0.132,0.689
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.728,0.19,0.045,0.17,0.282,0.078,0.129,0.187
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.116,0.686,0.043,0.014,0.018,0.02,0.094,0.087
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.036,0.838,0.01,0.006,0.072,0.019,0.024
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.044,0.016,0.009,0.773,0.051,0.042,0.019,0.032
