var,categoria,Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,A los candidatos a gobernador e intendente del Frente de Todos,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,A los candidatos a gobernador e intendente del Frente de Izquierda,Votaría en blanco,No sabe
P07,Del Frente de Todos y el peronismo,0.052,0.562,0.901,0.043,0.041,0.216,0.278,0.115
P07,De Cambiemos,0.64,0.202,0.03,0.03,0.323,0.137,0.394,0.344
P07,De los Liberales libertarios,0.194,0.079,0.035,0.848,0.3,0.0,0.064,0.1
P07,De la Izquierda,0.014,0.022,0.017,0.034,0.029,0.496,0.0,0.038
P07,Otros,0.045,0.072,0.0,0.045,0.259,0.094,0.098,0.059
P07,No sabe,0.055,0.063,0.017,0.0,0.048,0.057,0.166,0.344
P11,A Juntos por el Cambio,0.731,0.09,0.025,0.084,0.193,0.064,0.317,0.16
P11,Al Frente de Todos,0.048,0.137,0.781,0.008,0.069,0.155,0.089,0.044
P11,A Hacemos por Córdoba,0.068,0.663,0.058,0.154,0.044,0.08,0.0,0.173
P11,A los liberales libertarios de Milei,0.061,0.04,0.058,0.622,0.133,0.072,0.041,0.072
P11,A Encuentro Vecinal Córdoba,0.022,0.011,0.0,0.013,0.396,0.0,0.0,0.039
P11,Al Frente de Izquierda,0.019,0.012,0.022,0.0,0.0,0.531,0.135,0.071
P11,No sabe,0.051,0.047,0.056,0.119,0.165,0.098,0.418,0.441
P42,A Rodrigo De Loredo por Juntos por el Cambio,0.817,0.146,0.046,0.311,0.281,0.086,0.322,0.244
P42,A Daniel Passerini por Hacemos por Cordoba,0.059,0.76,0.167,0.1,0.18,0.053,0.207,0.1
P42,Al candidato del frente de todos,0.036,0.037,0.735,0.053,0.059,0.024,0.0,0.024
