"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.702,0.572,0.049,0.058,0.265
"P09","Diego Santilli",0.035,0.13,0.399,0.444,0.589
"P09","Facundo Manes",0.042,0.015,0.225,0.173,0.097
"P09","Florencio Randazzo",0.015,0.086,0.036,0.073,0
"P09","A la izquierda",0.067,0.03,0.007,0.002,0
"P09","Jose Luis Espert",0,0.012,0.127,0.198,0.032
"P09","Otros candidatos",0.101,0.095,0.045,0.035,0.017
"P09","Votaría en blanco o anularía",0.038,0.06,0.112,0.017,0
