"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.936,0.822,0.796,0.701,0.83,0.859,0.611,0.439
"Puede ser",0.03,0.122,0.12,0.22,0.098,0.08,0.221,0.245
"No",0.034,0.056,0.084,0.079,0.072,0.061,0.168,0.316
