"","Si","Puede ser","No"
"Toloza Paz",0.342,0.078,0.123
"Diego Santilli",0.288,0.314,0.177
"Facundo Manes",0.1,0.114,0.127
"Florencio Randazzo",0.043,0.081,0.053
"A la izquierda",0.026,0.012,0.02
"Jose Luis Espert",0.083,0.061,0.06
"Otros candidatos",0.07,0.154,0.175
"Votaría en blanco o anularía",0.048,0.186,0.265
