"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.334,0.318,0.109,0.327,0.432,0.409,0.395,0.726,0.641,0.517
"P09","Diego Santilli",0.261,0.149,0.383,0.16,0.331,0.24,0.3,0,0.121,0.135
"P09","Facundo Manes",0.095,0.112,0.161,0,0.058,0.082,0,0,0.017,0.042
"P09","Florencio Randazzo",0.058,0.085,0.043,0.013,0.062,0.033,0.119,0,0.01,0.036
"P09","A la izquierda",0.038,0.019,0.033,0,0.003,0.02,0.093,0,0.042,0
"P09","Jose Luis Espert",0.085,0.097,0.089,0.112,0.026,0.075,0,0,0.067,0
"P09","Otros candidatos",0.056,0.148,0.101,0.166,0.058,0.019,0.093,0,0.036,0.27
"P09","Votaría en blanco o anularía",0.073,0.072,0.081,0.222,0.03,0.122,0,0.274,0.066,0
