"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Unión por la Patria",0.242,0.215,0.268,0.132,0.245,0.337,0.274,0.222,0.245,0.271,0.4,0.091,0.095,0.138,0.027,0.257,0.188,0.274,0.21,0.307,0.249
"Juntos por el Cambio",0.35,0.376,0.326,0.245,0.33,0.413,0.476,0.32,0.347,0.405,0.264,0.603,0.244,0.079,0.354,0.348,0.349,0.343,0.376,0.312,0.371
"De los Liberales libertarios",0.189,0.248,0.134,0.3,0.188,0.121,0.115,0.199,0.187,0.177,0.148,0.238,0.377,0.068,0.075,0.218,0.162,0.209,0.192,0.169,0.156
"De la Izquierda",0.027,0.024,0.03,0.044,0.025,0.014,0.025,0.027,0.029,0.025,0.02,0.001,0,0.664,0.244,0.04,0.022,0.027,0.02,0.009,0.026
"Hacemos por nuestro país",0.005,0.005,0.004,0.004,0.002,0.006,0.009,0.004,0.004,0.007,0.006,0.001,0,0,0.063,0.004,0.004,0.002,0.008,0,0.01
"Otro",0.048,0.02,0.074,0.073,0.053,0.031,0.021,0.036,0.069,0.03,0.045,0.026,0.042,0.037,0.049,0.029,0.082,0.05,0.025,0.061,0.053
"En blanco",0.044,0.044,0.044,0.073,0.044,0.021,0.03,0.065,0.03,0.032,0.027,0.021,0.196,0,0.093,0.042,0.043,0.023,0.037,0.074,0.046
"No sabe",0.095,0.068,0.12,0.129,0.113,0.057,0.05,0.127,0.089,0.053,0.09,0.019,0.046,0.014,0.095,0.062,0.15,0.072,0.132,0.068,0.089
