"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P12_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.595,0.102,0.113,0.228,0.159,0.236,0.156,0.224
"P12_imputada","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria",0.159,0.066,0.087,0.181,0,0.167,0.027,0.061
"P12_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.1,0.457,0.159,0.007,0,0.092,0.054,0.087
"P12_imputada","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.047,0.179,0.056,0.042,0.351,0.103,0.016,0.066
"P12_imputada","Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio",0.019,0.102,0.032,0,0,0.028,0.084,0.01
"P12_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.043,0.079,0.543,0.333,0,0.26,0.121,0.157
"P12_imputada","A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda",0.001,0.002,0,0.168,0,0,0.133,0.002
"P12_imputada","Otro",0.022,0.013,0.01,0.041,0.396,0.114,0.112,0.373
"P12_imputada","En blanco",0.014,0,0,0,0.094,0,0.297,0.02
"PRESIDENTE_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",0.606,0.114,0.113,0.228,0.159,0.236,0.182,0.224
"PRESIDENTE_imputada","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0.164,0.071,0.088,0.181,0,0.166,0.073,0.061
"PRESIDENTE_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0.102,0.512,0.16,0.007,0,0.101,0.054,0.09
"PRESIDENTE_imputada","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0.049,0.201,0.056,0.042,0.351,0.123,0.028,0.07
"PRESIDENTE_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.043,0.087,0.573,0.333,0,0.26,0.121,0.16
"PRESIDENTE_imputada","A los candidatos a presidente, vicepresidente del Frente de Izquierda",0.001,0.002,0,0.168,0,0,0.133,0.002
"PRESIDENTE_imputada","Otro",0.022,0.013,0.01,0.041,0.396,0.114,0.112,0.373
"PRESIDENTE_imputada","En blanco",0.013,0,0,0,0.094,0,0.297,0.02
