"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.442,0.161,0.086,0.113,0.17
"P06","Casi siempre",0.272,0.497,0.269,0.147,0.098
"P06","Casi nunca",0.207,0.28,0.492,0.292,0.313
"P06","Nunca, pero esta es una excepción",0.079,0.062,0.153,0.448,0.419
"P07","Tiene Decidido que va a ir a votar",0.88,0.793,0.807,0.539,0.824
"P07","Tiene dudas sobre si va a ir a  votar",0.077,0.144,0.131,0.239,0.122
"P07","Tiene Decidido que no va a ir a votar",0.043,0.063,0.062,0.222,0.054
"P09","Unión por la Patria",0.336,0.232,0.173,0.135,0.007
"P09","Juntos por el Cambio",0.354,0.416,0.369,0.236,0.206
"P09","De los Liberales libertarios",0.201,0.199,0.163,0.176,0.157
"P09","De la Izquierda",0.026,0.029,0.025,0.044,0
"P09","Hacemos por nuestro país",0.003,0.004,0.004,0.012,0
"P09","Otro",0.036,0.037,0.08,0.061,0.053
"P09","En blanco",0.01,0.021,0.046,0.119,0.246
"P09","No sabe",0.034,0.062,0.14,0.217,0.331
"P12","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.295,0.241,0.171,0.191,0.148
"P12","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria",0.107,0.084,0.091,0.128,0.011
"P12","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.206,0.27,0.264,0.137,0.178
"P12","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.106,0.124,0.098,0.041,0.053
"P12","Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio",0.055,0.05,0.057,0.034,0.078
"P12","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.175,0.147,0.174,0.241,0.068
"P12","A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda",0.005,0.013,0.005,0.032,0
"P12","Otro",0.029,0.04,0.029,0.07,0.188
"P12","En blanco",0.001,0.006,0.041,0.039,0
"P12","No sabe",0.021,0.025,0.07,0.087,0.276
"P15","Totalmente seguro",0.786,0.578,0.491,0.371,0.477
"P15","Bastante seguro",0.105,0.243,0.147,0.075,0.108
"P15","Algo seguro",0.04,0.097,0.165,0.212,0.198
"P15","Para nada seguro",0.069,0.082,0.197,0.342,0.217
"P16","La votaría",0.462,0.331,0.231,0.219,0.164
"P16","Puede que la vote",0.073,0.121,0.114,0.162,0.08
"P16","Nunca la votaría",0.422,0.487,0.544,0.424,0.33
"P16","No sabe",0.043,0.061,0.111,0.195,0.426
"P17","La votaría",0.221,0.148,0.13,0.104,0.049
"P17","Puede que la vote",0.134,0.117,0.132,0.146,0.013
"P17","Nunca la votaría",0.592,0.656,0.555,0.621,0.444
"P17","No sabe",0.053,0.079,0.183,0.129,0.494
"P18","La votaría",0.26,0.256,0.26,0.145,0.281
"P18","Puede que la vote",0.132,0.221,0.196,0.205,0.263
"P18","Nunca la votaría",0.561,0.47,0.447,0.517,0.192
"P18","No sabe",0.047,0.053,0.097,0.133,0.264
"P19","La votaría",0.208,0.214,0.187,0.2,0.209
"P19","Puede que la vote",0.143,0.259,0.228,0.182,0.242
"P19","Nunca la votaría",0.585,0.482,0.475,0.442,0.343
"P19","No sabe",0.064,0.045,0.11,0.176,0.206
"P20","La votaría",0.196,0.215,0.214,0.29,0.173
"P20","Puede que la vote",0.114,0.161,0.152,0.098,0.193
"P20","Nunca la votaría",0.653,0.556,0.494,0.484,0.441
"P20","No sabe",0.037,0.068,0.14,0.128,0.193
"P21","La votaría",0.146,0.11,0.11,0.093,0.075
"P21","Puede que la vote",0.125,0.189,0.122,0.097,0.171
"P21","Nunca la votaría",0.647,0.594,0.624,0.624,0.263
"P21","No sabe",0.082,0.107,0.144,0.186,0.491
"P22","Si",0.502,0.404,0.342,0.347,0.455
"P22","No",0.498,0.596,0.658,0.653,0.545
"PRESIDENTE","Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",0.304,0.25,0.176,0.191,0.148
"PRESIDENTE","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0.111,0.084,0.095,0.143,0.011
"PRESIDENTE","Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0.227,0.296,0.29,0.154,0.22
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0.121,0.132,0.106,0.043,0.053
"PRESIDENTE","Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.181,0.154,0.188,0.241,0.104
"PRESIDENTE","A los candidatos a presidente, vicepresidente del Frente de Izquierda",0.005,0.013,0.005,0.032,0
"PRESIDENTE","Otro",0.029,0.04,0.029,0.07,0.188
"PRESIDENTE","En blanco",0.001,0.006,0.041,0.039,0
"PRESIDENTE","No sabe",0.021,0.025,0.07,0.087,0.276
