"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Totalmente seguro",0.614,0.671,0.56,0.615,0.582,0.668,0.615,0.572,0.618,0.676,0.631,0.664,0.676,0.461,0.375,0.622,0.584,0.606,0.611,0.698,0.573
"Bastante seguro",0.142,0.132,0.15,0.12,0.137,0.151,0.172,0.123,0.162,0.136,0.158,0.119,0.023,0.196,0.301,0.158,0.165,0.133,0.094,0.076,0.179
"Algo seguro",0.105,0.09,0.12,0.093,0.111,0.104,0.113,0.113,0.105,0.094,0.1,0.121,0.048,0.039,0.06,0.08,0.123,0.102,0.15,0.099,0.103
"Para nada seguro",0.139,0.107,0.17,0.172,0.17,0.077,0.1,0.192,0.115,0.094,0.111,0.096,0.253,0.304,0.264,0.14,0.128,0.159,0.145,0.127,0.145
