"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",0.248,0.237,0.258,0.16,0.256,0.319,0.264,0.269,0.229,0.245,0.407,0.06,0.146,0.247,0.124,0.253,0.214,0.224,0.26,0.289,0.258
"Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0.101,0.09,0.111,0.116,0.112,0.084,0.076,0.108,0.098,0.095,0.135,0.054,0.013,0.193,0.083,0.106,0.12,0.081,0.101,0.119,0.054
"Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0.247,0.257,0.236,0.159,0.219,0.327,0.334,0.208,0.253,0.297,0.17,0.445,0.158,0.068,0.027,0.227,0.254,0.235,0.299,0.259,0.229
"Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0.105,0.113,0.098,0.102,0.099,0.084,0.154,0.073,0.128,0.119,0.065,0.189,0.138,0.045,0.29,0.122,0.102,0.111,0.087,0.059,0.123
"Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.181,0.203,0.16,0.309,0.18,0.103,0.094,0.179,0.198,0.157,0.121,0.203,0.321,0.179,0.175,0.184,0.207,0.206,0.132,0.139,0.201
"A los candidatos a presidente, vicepresidente del Frente de Izquierda",0.01,0.015,0.006,0.014,0.005,0.015,0.012,0.014,0.005,0.013,0.002,0.004,0.185,0.122,0.157,0.016,0.005,0.016,0.005,0.003,0.012
"Otro",0.044,0.045,0.044,0.069,0.047,0.028,0.022,0.051,0.045,0.031,0.051,0.014,0.02,0.029,0.097,0.043,0.041,0.039,0.053,0.049,0.043
"En blanco",0.016,0.004,0.027,0.013,0.023,0.014,0.007,0.03,0.005,0.011,0.01,0.005,0.019,0,0,0.015,0.003,0.007,0.023,0.035,0.02
"No sabe",0.048,0.036,0.06,0.058,0.059,0.026,0.037,0.068,0.039,0.032,0.039,0.026,0,0.117,0.047,0.034,0.054,0.081,0.04,0.048,0.06
