"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.241,0.234,0.247,0.16,0.246,0.316,0.25,0.263,0.225,0.233,0.398,0.057,0.131,0.247,0.027,0.245,0.205,0.214,0.26,0.279,0.255
"Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria",0.097,0.089,0.105,0.112,0.106,0.082,0.074,0.104,0.097,0.086,0.131,0.054,0.013,0.193,0.083,0.1,0.117,0.068,0.101,0.119,0.054
"Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.225,0.237,0.213,0.141,0.202,0.305,0.3,0.184,0.237,0.269,0.165,0.393,0.146,0.03,0.027,0.202,0.213,0.223,0.29,0.244,0.219
"Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.095,0.101,0.089,0.09,0.087,0.076,0.146,0.073,0.107,0.11,0.062,0.168,0.138,0.024,0.29,0.115,0.088,0.107,0.087,0.044,0.098
"Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio",0.052,0.042,0.062,0.054,0.051,0.041,0.064,0.036,0.05,0.081,0.031,0.08,0.078,0.059,0.098,0.051,0.074,0.042,0.01,0.072,0.055
"Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.172,0.197,0.148,0.289,0.175,0.096,0.088,0.176,0.189,0.134,0.111,0.199,0.27,0.179,0.175,0.179,0.2,0.202,0.132,0.106,0.183
"A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda",0.01,0.015,0.006,0.014,0.005,0.015,0.012,0.014,0.005,0.013,0.002,0.004,0.185,0.122,0.156,0.016,0.005,0.016,0.005,0.003,0.012
"Otro",0.044,0.045,0.043,0.069,0.047,0.028,0.022,0.052,0.045,0.031,0.051,0.014,0.02,0.029,0.097,0.043,0.041,0.039,0.052,0.05,0.044
"En blanco",0.016,0.004,0.027,0.013,0.022,0.014,0.007,0.03,0.006,0.011,0.01,0.005,0.019,0,0,0.015,0.003,0.008,0.023,0.035,0.02
"No sabe",0.048,0.036,0.06,0.058,0.059,0.027,0.037,0.068,0.039,0.032,0.039,0.026,0,0.117,0.047,0.034,0.054,0.081,0.04,0.048,0.06
