"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.57,0.487,0.551,0.525,0.434,0.49,0.191,0.167
"P05","Bastante",0.32,0.359,0.253,0.207,0.175,0.365,0.521,0.346
"P05","Poco",0.076,0.108,0.089,0.261,0.058,0.145,0.105,0.231
"P05","Nada",0.023,0.034,0.107,0.007,0.087,0,0.146,0.233
"P05","No sabe",0.011,0.012,0,0,0.246,0,0.037,0.023
"P06","Siempre",0.27,0.23,0.328,0.202,0.484,0.311,0.149,0.077
"P06","Casi siempre",0.399,0.497,0.338,0.297,0.023,0.318,0.306,0.337
"P06","Casi nunca",0.269,0.221,0.234,0.402,0.248,0.32,0.283,0.356
"P06","Nunca, pero esta es una excepción",0.062,0.052,0.1,0.099,0.245,0.051,0.262,0.23
"P08","Unión por la Patria",0.746,0.119,0.146,0.171,0.151,0.208,0,0.043
"P08","Juntos por el Cambio ",0.187,0.816,0.097,0.135,0.399,0.289,0.233,0.236
"P08","Liberales",0.009,0.03,0.616,0.128,0.242,0.023,0.037,0.027
"P08","Izquierda",0.012,0.001,0.048,0.491,0,0.019,0.106,0
"P08","Otro",0.016,0.008,0.047,0.009,0.087,0.165,0.037,0.114
"P08","No sabe",0.03,0.026,0.046,0.066,0.121,0.296,0.587,0.58
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.666,0,0.053,0.047,0.028,0.049,0,0.034
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.21,0.004,0.009,0.215,0.052,0.352,0,0.029
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.007,0.749,0.134,0.095,0,0.026,0,0.173
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.083,0.213,0.042,0.016,0.224,0.354,0.233,0.251
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.01,0.026,0.7,0.064,0.242,0.01,0.087,0
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0,0.026,0.563,0,0.032,0.056,0
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.001,0,0,0.209,0,0,0
"P09","Otros",0.005,0.003,0.022,0,0.245,0.091,0.292,0.055
"P09","En blanco",0,0.003,0.014,0,0,0,0.179,0
"P09","No sabe",0.008,0.001,0,0,0,0.086,0.153,0.458
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.701,0.026,0.073,0.299,0.035,0.142,0,0.086
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.04,0.604,0.238,0,0,0.079,0.104,0.134
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.144,0.251,0.075,0.183,0.382,0.4,0.27,0.435
"P12","Ramiro Marra por la Libertad Avanza",0.038,0.058,0.505,0.095,0.15,0.024,0,0.057
"P12","Vanina Biasi por el Frente de Izquierda",0.027,0.031,0.063,0.318,0.203,0.162,0.142,0
"P12","Otros",0.041,0.012,0.046,0.105,0.23,0.104,0,0.058
"P12","En blanco",0.009,0.013,0,0,0,0,0.233,0
"P12","No sabe",0,0.005,0,0,0,0.089,0.251,0.23
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.494,0.044,0.073,0.163,0.08,0.12,0,0.074
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.219,0.034,0.026,0.258,0,0.162,0.093,0.036
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.471,0.35,0.056,0.188,0.204,0.037,0.055
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.083,0.278,0.179,0.134,0.094,0.182,0.104,0.16
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.127,0.303,0.016,0.199,0.093,0.143,0.134
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.051,0.004,0.002,0.242,0.2,0.043,0,0.102
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.003,0.003,0,0.089,0.032,0,0.037
"P18","Otros",0.022,0.01,0.005,0.124,0.046,0.11,0,0.012
"P18","En blanco",0.014,0.018,0.059,0.007,0,0,0.401,0.041
"P18","No sabe",0.004,0.011,0,0,0.104,0.054,0.222,0.349
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.435,0.033,0.111,0.214,0.035,0.194,0.153,0.11
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.069,0.48,0.287,0.154,0.175,0.094,0.051,0.098
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.12,0.313,0.109,0.046,0.09,0.307,0.149,0.279
"P21","Ramiro Marra por la Libertad Avanza",0.065,0.087,0.34,0.031,0.166,0.066,0,0.019
"P21","Vanina Biasi por el Frente de Izquierda",0.12,0.019,0.018,0.377,0.204,0.072,0.053,0
"P21","Otros",0.1,0.022,0.042,0.129,0.23,0.147,0,0.078
"P21","En blanco",0.056,0.031,0.059,0.049,0.05,0.076,0.3,0.099
"P21","No sabe",0.035,0.015,0.034,0,0.05,0.044,0.294,0.317
"P25","Totalmente seguro",0.708,0.685,0.58,0.663,0.637,0.569,0.668,0.263
"P25","Bastante seguro",0.197,0.185,0.191,0.203,0.071,0.172,0,0.043
"P25","Algo seguro",0.063,0.079,0.131,0.116,0.223,0.142,0.056,0.065
"P25","Para nada seguro",0.032,0.051,0.098,0.018,0.069,0.117,0.276,0.629
"P26","Tiene Decidido que va a ir a votar",0.939,0.904,0.836,0.918,0.908,0.83,0.601,0.867
"P26","Tiene dudas sobre si va a ir a  votar",0.049,0.072,0.069,0.065,0.046,0.051,0.166,0.084
"P26","Tiene Decidido que no va a ir a votar",0.012,0.024,0.095,0.017,0.046,0.119,0.233,0.049
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.88,0.021,0.022,0.112,0,0.115,0,0.035
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.086,0.706,0.092,0.028,0.393,0.281,0.203,0.264
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.002,0.147,0.878,0.041,0,0,0.047,0.017
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.006,0.005,0.691,0.046,0.013,0.054,0.017
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.007,0,0.086,0.561,0,0,0.097
"P28","Otros",0.004,0.028,0,0,0,0.488,0,0.033
"P28","En blanco",0.004,0.054,0.003,0,0,0.05,0.569,0.023
"P28","No sabe",0.009,0.031,0,0.042,0,0.053,0.127,0.514
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.866,0.009,0.045,0.337,0.066,0.255,0.084,0.23
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.091,0.819,0.222,0.105,0.196,0.109,0.179,0.112
"P29","Ramiro Marra por la Libertad Avanza",0.006,0.06,0.616,0.037,0.32,0,0,0
"P29","Vanina Biasi por el Frente de Izquierda",0.013,0.019,0,0.383,0,0.08,0.145,0
"P29","Otros",0.019,0.037,0.056,0.061,0.341,0.272,0,0.098
"P29","En blanco",0,0.025,0.057,0,0,0.227,0.174,0.071
"P29","No sabe",0.005,0.031,0.004,0.077,0.077,0.057,0.418,0.489
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.788,0.016,0.085,0.347,0,0.216,0.084,0.211
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.154,0.754,0.186,0.264,0.645,0.313,0.167,0.467
"P30","Ramiro Marra por la Libertad Avanza",0.005,0.088,0.657,0.037,0.105,0.032,0,0
"P30","Vanina Biasi por el Frente de Izquierda",0.017,0.01,0,0.276,0,0.032,0.144,0
"P30","Otros",0.02,0.034,0.045,0,0.213,0.134,0,0.076
"P30","En blanco",0,0.041,0.024,0,0.037,0.216,0.264,0.047
"P30","No sabe",0.016,0.057,0.003,0.076,0,0.057,0.341,0.199
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.903,0.051,0.144,0.447,0.102,0.381,0.089,0.168
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.919,0.567,0.104,0.402,0.174,0.089,0.282
"P33","En blanco",0.057,0.022,0.223,0.366,0.315,0.179,0.587,0.098
"P33","No sabe",0.008,0.008,0.066,0.083,0.181,0.266,0.235,0.452
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.094,0.889,0.229,0.352,0.736,0.128,0.15,0.332
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.085,0.721,0,0.042,0.089,0,0
"P34","En blanco",0.693,0.014,0.042,0.578,0.143,0.45,0.593,0.156
"P34","No sabe",0.137,0.012,0.008,0.07,0.079,0.333,0.257,0.512
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.845,0.044,0.091,0.539,0.4,0.321,0,0.226
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.087,0.754,0.366,0.125,0.486,0.371,0.237,0.494
"P35","En blanco",0.049,0.117,0.478,0.296,0.114,0.087,0.592,0
"P35","No sabe",0.019,0.085,0.065,0.04,0,0.221,0.171,0.28
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.236,0.667,0.21,0.313,0.683,0.327,0.236,0.299
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.031,0.234,0.701,0.082,0.209,0.014,0,0.074
"P36","En blanco",0.619,0.045,0.082,0.541,0.108,0.391,0.59,0.17
"P36","No sabe",0.114,0.054,0.007,0.064,0,0.268,0.174,0.457
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.92,0.09,0.116,0.663,0.382,0.365,0.064,0.067
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.021,0.425,0.782,0,0.181,0.061,0,0.184
"P37","En blanco",0.044,0.257,0.055,0.257,0.281,0.173,0.77,0.069
"P37","No sabe",0.015,0.228,0.047,0.08,0.156,0.401,0.166,0.68
"P38","Lo votaría",0.8,0.07,0.069,0.268,0.143,0.341,0,0.038
"P38","Puede que lo vote",0.164,0.13,0.174,0.37,0.217,0.228,0.119,0.027
"P38","Nunca lo votaría",0.028,0.782,0.715,0.179,0.64,0.165,0.358,0.553
"P38","No sabe",0.008,0.018,0.042,0.183,0,0.266,0.523,0.382
"P39","Lo votaría",0.505,0.01,0.065,0.343,0.143,0.433,0.096,0.038
"P39","Puede que lo vote",0.267,0.074,0.082,0.194,0.057,0.147,0,0.111
