"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.604,0.509,0.388,0.524,0.616,0.418,0.301,0.262
"P05","Bastante",0.295,0.327,0.458,0.254,0.111,0.343,0.322,0.423
"P05","Poco",0.074,0.118,0.12,0.144,0.113,0.161,0.188,0.211
"P05","Nada",0.019,0.044,0.031,0.064,0.057,0.011,0.054,0.104
"P05","No sabe",0.008,0.002,0.003,0.014,0.103,0.067,0.135,0
"P06","Siempre",0.25,0.252,0.216,0.291,0.399,0.167,0.058,0.14
"P06","Casi siempre",0.371,0.469,0.437,0.246,0.319,0.441,0.314,0.314
"P06","Casi nunca",0.311,0.185,0.296,0.357,0.225,0.236,0.314,0.41
"P06","Nunca, pero esta es una excepción",0.068,0.094,0.051,0.106,0.057,0.156,0.314,0.136
"P08","Unión por la Patria",0.768,0.114,0.219,0.154,0.235,0.151,0.05,0.142
"P08","Juntos por el Cambio ",0.14,0.744,0.569,0.171,0.209,0.287,0.285,0.109
"P08","Liberales",0.036,0.098,0.05,0.568,0.136,0.043,0,0.064
"P08","Izquierda",0.016,0.009,0.03,0.018,0.288,0.112,0.135,0.04
"P08","Otro",0.023,0.004,0.027,0.026,0.025,0.134,0.026,0.056
"P08","No sabe",0.017,0.031,0.105,0.063,0.107,0.273,0.504,0.589
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.638,0.039,0.123,0.073,0.029,0.173,0.108,0.085
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.228,0.004,0.046,0.004,0.257,0.1,0,0.053
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.034,0.654,0.339,0.228,0.062,0.256,0.122,0.085
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.042,0.194,0.335,0.054,0.12,0.06,0,0.04
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.029,0.091,0.046,0.61,0.177,0.055,0,0.071
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.002,0.045,0.009,0.321,0.133,0.135,0.04
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0.015,0.01,0.023,0.009,0.116,0
"P09","Otros",0.011,0,0,0.004,0.011,0.193,0.021,0.09
"P09","En blanco",0.002,0,0.005,0.008,0,0.021,0.274,0.04
"P09","No sabe",0.01,0.016,0.046,0,0,0,0.224,0.496
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.446,0.047,0.169,0.067,0.278,0.307,0.188,0.031
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.244,0.042,0.051,0.048,0.151,0.11,0.073,0.027
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.459,0.275,0.343,0.157,0.149,0.057,0.1
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.081,0.271,0.269,0.083,0.132,0.067,0.09,0.047
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.057,0.131,0.092,0.354,0.1,0.103,0,0.028
