"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.657,0.502,0.426,0.51,0.534,0.522,0.41,0.345
"P05","Bastante",0.247,0.321,0.374,0.373,0.316,0.343,0.443,0.307
"P05","Poco",0.087,0.119,0.148,0.057,0.068,0.135,0.079,0.188
"P05","Nada",0.009,0.058,0.045,0.06,0.005,0,0.068,0.043
"P05","No sabe",0,0,0.007,0,0.077,0,0,0.117
"P06","Siempre",0.327,0.233,0.216,0.293,0.251,0.249,0.135,0.211
"P06","Casi siempre",0.376,0.412,0.436,0.338,0.424,0.41,0.354,0.327
"P06","Casi nunca",0.237,0.279,0.261,0.288,0.271,0.219,0.383,0.345
"P06","Nunca, pero esta es una excepción",0.06,0.076,0.087,0.081,0.054,0.122,0.128,0.117
"P08","Unión por la Patria",0.692,0.177,0.211,0.167,0.504,0.38,0.282,0.254
"P08","Juntos por el Cambio ",0.15,0.636,0.584,0.317,0.232,0.179,0.291,0.278
"P08","Liberales",0.039,0.129,0.081,0.465,0.053,0.094,0.193,0.066
"P08","Izquierda",0.045,0.017,0.01,0.018,0.184,0.041,0.053,0
"P08","Otro",0.032,0.006,0.045,0.024,0,0.027,0.045,0.045
"P08","No sabe",0.042,0.035,0.069,0.009,0.027,0.279,0.136,0.357
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.498,0.085,0.16,0.106,0.37,0.357,0.245,0.235
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.245,0.018,0.046,0.033,0.229,0.13,0.065,0.029
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.05,0.508,0.429,0.269,0.115,0.116,0.21,0.15
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.069,0.252,0.222,0.094,0.035,0.027,0.073,0.144
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.042,0.122,0.079,0.431,0.082,0.187,0.198,0.099
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.054,0.004,0.013,0.049,0.151,0.055,0.065,0
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.002,0.01,0.013,0.018,0.019,0,0
"P09","Otros",0.015,0,0.005,0,0,0.081,0.008,0.129
"P09","En blanco",0.01,0,0,0,0,0,0.082,0.012
"P09","No sabe",0.01,0.009,0.036,0.005,0,0.028,0.054,0.202
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.558,0.099,0.19,0.128,0.634,0.363,0.248,0.243
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.092,0.393,0.456,0.306,0.01,0.085,0.088,0.044
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.112,0.322,0.265,0.126,0.116,0.057,0.133,0.265
"P12","Ramiro Marra por la Libertad Avanza",0.073,0.15,0.042,0.337,0.022,0.157,0.223,0.124
"P12","Vanina Biasi por el Frente de Izquierda",0.09,0.017,0.03,0.076,0.15,0.096,0.053,0
"P12","Otros",0.05,0.008,0.015,0.015,0.037,0.23,0.09,0.155
"P12","En blanco",0.017,0.009,0,0,0,0,0.102,0.011
"P12","No sabe",0.008,0.002,0.002,0.012,0.031,0.012,0.063,0.158
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.516,0.1,0.139,0.119,0.189,0.175,0.248,0.088
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.17,0.04,0.072,0.072,0.343,0.22,0.125,0.064
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.102,0.464,0.291,0.338,0.106,0.09,0.125,0.137
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.094,0.238,0.286,0.095,0.15,0.068,0.074,0.087
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.123,0.11,0.311,0.087,0.14,0.068,0.083
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.005,0.022,0.01,0.082,0.236,0.052,0.012
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.002,0.013,0.007,0.006,0.007,0.032,0.048
"P18","Otros",0.025,0.008,0.01,0.007,0.027,0.048,0.061,0.042
"P18","En blanco",0.002,0.005,0.01,0.036,0.01,0.008,0.158,0.107
"P18","No sabe",0,0.015,0.047,0.005,0,0.008,0.057,0.332
"P25","Totalmente seguro",0.64,0.642,0.721,0.678,0.667,0.597,0.663,0.515
"P25","Bastante seguro",0.22,0.224,0.099,0.144,0.206,0.176,0.105,0.19
"P25","Algo seguro",0.08,0.1,0.104,0.072,0.065,0.173,0.068,0.066
"P25","Para nada seguro",0.06,0.034,0.076,0.106,0.062,0.054,0.164,0.229
"P26","Tiene Decidido que va a ir a votar",0.968,0.935,0.872,0.948,0.904,0.905,0.882,0.691
"P26","Tiene dudas sobre si va a ir a  votar",0.023,0.051,0.092,0.045,0.096,0.095,0.041,0.097
"P26","Tiene Decidido que no va a ir a votar",0.009,0.014,0.036,0.007,0,0,0.077,0.212
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.736,0.096,0.216,0.202,0.522,0.507,0.37,0.318
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.657,0.562,0.271,0.082,0.111,0.204,0.133
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.171,0.085,0.456,0.033,0.092,0.171,0.133
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.06,0.035,0.014,0.016,0.274,0.11,0.055,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.013,0.008,0.027,0.046,0.061,0.017,0.024
"P27","Otros",0.037,0.014,0.061,0.023,0.035,0.083,0.056,0.044
"P27","En blanco",0.009,0.002,0.009,0,0.008,0,0.068,0.091
"P27","No sabe",0.017,0.012,0.045,0.005,0,0.036,0.059,0.257
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.691,0.064,0.21,0.15,0.623,0.537,0.356,0.28
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.12,0.531,0.574,0.195,0.106,0.148,0.155,0.268
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.25,0.073,0.576,0.033,0.121,0.199,0.238
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.087,0.016,0.02,0.016,0.137,0.04,0,0
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.029,0.015,0.016,0.062,0.019,0,0
"P28","Otros",0.012,0.029,0.071,0.011,0,0.083,0.047,0
"P28","En blanco",0.013,0.05,0,0.012,0,0.024,0.197,0.017
