"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.205,0.2,0.21,0.205,0.228,0.197,0.175,0.241,0.182,0.208,0.414,0.074,0.14
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.109,0.109,0.11,0.079,0.147,0.106,0.079,0.092,0.089,0.129,0.201,0.046,0.035
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.251,0.273,0.232,0.211,0.207,0.285,0.331,0.229,0.288,0.234,0.089,0.426,0.236
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.17,0.172,0.168,0.145,0.15,0.198,0.199,0.166,0.211,0.144,0.099,0.246,0.143
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.128,0.126,0.13,0.18,0.125,0.103,0.107,0.14,0.108,0.137,0.059,0.148,0.207
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.027,0.044,0.063,0.042,0.019,0.017,0.025,0.048,0.032,0.052,0.002,0.033
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.01,0.013,0.013,0.008,0.023,0.006,0.004,0.016,0.012,0.007,0.004,0.049
"Otros",0.023,0.02,0.026,0.021,0.03,0.015,0.02,0.023,0.008,0.032,0.025,0.012,0.072
"En blanco",0.031,0.032,0.029,0.036,0.032,0.022,0.034,0.035,0.028,0.032,0.035,0.017,0.058
"No sabe",0.035,0.031,0.038,0.047,0.031,0.032,0.032,0.045,0.022,0.04,0.019,0.025,0.027
