"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.545,0.484,0.394,0.326
"P05","Bastante",0.307,0.351,0.416,0.287
"P05","Poco",0.089,0.13,0.18,0.21
"P05","Nada",0.043,0.035,0.01,0.119
"P05","No sabe",0.016,0,0,0.058
"P06","Siempre",0.283,0.242,0.166,0.138
"P06","Casi siempre",0.373,0.492,0.372,0.317
"P06","Casi nunca",0.263,0.203,0.363,0.366
"P06","Nunca, pero esta es una excepción",0.081,0.063,0.099,0.179
"P08","Unión por la Patria",0.368,0.377,0.158,0.133
"P08","Juntos por el Cambio ",0.394,0.408,0.483,0.236
"P08","Liberales",0.14,0.067,0.176,0.126
"P08","Izquierda",0.041,0.062,0.017,0.01
"P08","Otro",0.019,0.024,0.024,0.132
"P08","No sabe",0.038,0.062,0.142,0.363
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.276,0.189,0.091,0.129
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.087,0.203,0.054,0.016
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.25,0.255,0.206
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.113,0.207,0.23,0.111
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.148,0.088,0.192,0.129
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.029,0.092,0.022
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0,0.004,0.021
"P09","Otros",0.016,0.029,0.051,0.039
"P09","En blanco",0.003,0,0.008,0.053
"P09","No sabe",0.002,0.005,0.023,0.274
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.328,0.26,0.136,0.158
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.268,0.295,0.165,0.127
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.161,0.251,0.378,0.219
"P12","Ramiro Marra por la Libertad Avanza",0.139,0.07,0.157,0.114
"P12","Vanina Biasi por el Frente de Izquierda",0.066,0.039,0.046,0.034
"P12","Otros",0.027,0.083,0.104,0.074
"P12","En blanco",0.006,0,0.014,0.092
"P12","No sabe",0.005,0.002,0,0.182
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.225,0.209,0.128,0.109
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.125,0.146,0.023,0.047
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.264,0.252,0.272,0.212
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.156,0.179,0.256,0.162
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.127,0.119,0.128,0.123
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.021,0.106,0.055
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.006,0.019,0.014
"P18","Otros",0.023,0.024,0.012,0.043
"P18","En blanco",0.025,0.025,0.024,0.044
"P18","No sabe",0.017,0.019,0.032,0.191
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.191,0.24,0.167,0.157
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.259,0.331,0.286,0.122
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.206,0.103,0.209,0.191
"P21","Ramiro Marra por la Libertad Avanza",0.108,0.084,0.081,0.15
"P21","Vanina Biasi por el Frente de Izquierda",0.082,0.094,0.057,0.067
"P21","Otros",0.062,0.067,0.127,0.049
"P21","En blanco",0.057,0.033,0.041,0.125
"P21","No sabe",0.035,0.048,0.032,0.139
"P26","Tiene Decidido que va a ir a votar",0.966,0.792,0.764,0.669
"P26","Tiene dudas sobre si va a ir a  votar",0.025,0.191,0.05,0.168
"P26","Tiene Decidido que no va a ir a votar",0.009,0.017,0.186,0.163
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.364,0.366,0.237,0.14
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.349,0.34,0.297,0.221
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.148,0.176,0.246,0.211
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.058,0.064,0.074,0.013
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.007,0.046,0.016
"P27","Otros",0.035,0.038,0.065,0.061
"P27","En blanco",0.014,0,0.009,0.049
"P27","No sabe",0.014,0.009,0.026,0.289
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.358,0.333,0.205,0.09
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.317,0.321,0.348,0.216
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.172,0.229,0.286,0.29
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.046,0.044,0.053,0.033
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.011,0.005,0.006
"P28","Otros",0.03,0.022,0.051,0.049
"P28","En blanco",0.035,0.019,0.017,0.049
"P28","No sabe",0.014,0.021,0.035,0.267
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.367,0.383,0.208,0.163
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.387,0.403,0.287,0.25
"P29","Ramiro Marra por la Libertad Avanza",0.137,0.071,0.176,0.121
"P29","Vanina Biasi por el Frente de Izquierda",0.023,0.029,0.123,0.075
"P29","Otros",0.038,0.034,0.164,0.093
"P29","En blanco",0.018,0.059,0.022,0.088
"P29","No sabe",0.03,0.021,0.02,0.21
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.356,0.341,0.168,0.152
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.375,0.434,0.536,0.366
"P30","Ramiro Marra por la Libertad Avanza",0.15,0.099,0.136,0.143
"P30","Vanina Biasi por el Frente de Izquierda",0.026,0.006,0.064,0.055
"P30","Otros",0.032,0.029,0.078,0.057
"P30","En blanco",0.029,0.024,0.018,0.107
"P30","No sabe",0.032,0.067,0,0.12
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.411,0.455,0.323,0.126
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.464,0.47,0.444,0.481
"P33","En blanco",0.103,0.047,0.077,0.235
"P33","No sabe",0.022,0.028,0.156,0.158
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.425,0.456,0.505,0.289
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.162,0.149,0.225,0.318
"P34","En blanco",0.338,0.309,0.202,0.194
"P34","No sabe",0.075,0.086,0.068,0.199
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.396,0.394,0.31,0.129
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.387,0.444,0.483,0.322
"P35","En blanco",0.172,0.092,0.123,0.308
"P35","No sabe",0.045,0.07,0.084,0.241
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.388,0.477,0.473,0.25
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.213,0.165,0.349,0.304
"P36","En blanco",0.334,0.278,0.111,0.138
"P36","No sabe",0.065,0.08,0.067,0.308
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.435,0.47,0.455,0.157
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.303,0.243,0.328,0.362
"P37","En blanco",0.155,0.151,0.043,0.203
"P37","No sabe",0.107,0.136,0.174,0.278
"P38","Lo votaría",0.411,0.292,0.142,0.081
"P38","Puede que lo vote",0.098,0.31,0.358,0.227
"P38","Nunca lo votaría",0.465,0.372,0.363,0.475
"P38","No sabe",0.026,0.026,0.137,0.217
"P39","Lo votaría",0.232,0.328,0.103,0.09
"P39","Puede que lo vote",0.165,0.157,0.085,0.093
"P39","Nunca lo votaría",0.576,0.488,0.761,0.674
"P39","No sabe",0.027,0.027,0.051,0.143
"P40","Lo votaría",0.441,0.343,0.205,0.388
"P40","Puede que lo vote",0.108,0.169,0.226,0.149
"P40","Nunca lo votaría",0.429,0.471,0.511,0.319
"P40","No sabe",0.022,0.017,0.058,0.144
"P41","Lo votaría",0.29,0.353,0.317,0.223
"P41","Puede que lo vote",0.221,0.176,0.393,0.338
"P41","Nunca lo votaría",0.455,0.447,0.258,0.309
"P41","No sabe",0.034,0.024,0.032,0.13
"P42","Lo votaría",0.216,0.154,0.181,0.473
