"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.319,0.209,0.436,0.349,0.386,0.251,0.255,0.416,0.268,0.254,0.199,0.342,0.408,0.291,0.301,0.348,0.286,0.394,0.173
"A Mauricio Macri",0.337,0.325,0.35,0.462,0.275,0.268,0.38,0.16,0.55,0.243,0.499,0.397,0.236,0.512,0.143,0.273,0.352,0.291,0
"A Patricia Bullrich",0.271,0.374,0.16,0.148,0.284,0.398,0.224,0.342,0.129,0.408,0.243,0.195,0.12,0.132,0.54,0.379,0.249,0.269,0.447
"A Facundo Manes",0.063,0.087,0.037,0.041,0.03,0.083,0.126,0.082,0.05,0.055,0.043,0.038,0.236,0.065,0.016,0,0.113,0.042,0.38
"A Martín Lousteau",0.01,0.005,0.017,0,0.025,0,0.015,0,0.003,0.04,0.016,0.028,0,0,0,0,0,0.004,0
