"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P07","Muy buena",0.444,0.117,0.195,0.152
"P07","Buena",0.227,0.283,0.162,0.185
"P07","Ni buena ni mala",0.207,0.322,0.454,0.145
"P07","Mala",0.104,0.082,0.067,0.105
"P07","Muy mala",0,0.194,0.107,0.405
"P07","No sabe",0.018,0.002,0.015,0.008
"P08","Muy buena",0.126,0.082,0.016,0.078
"P08","Buena",0.059,0.026,0.028,0.023
"P08","Ni buena ni mala",0.534,0.505,0.543,0.21
"P08","Mala",0.103,0.108,0.038,0.155
"P08","Muy mala",0.023,0.104,0.191,0.376
"P08","No sabe",0.155,0.175,0.184,0.158
"P09","Muy buena",0.327,0.112,0.102,0.14
"P09","Buena",0.099,0.383,0.178,0.233
"P09","Ni buena ni mala",0.25,0.213,0.503,0.259
"P09","Mala",0.176,0.025,0.031,0.081
"P09","Muy mala",0.005,0.199,0.147,0.27
"P09","No sabe",0.143,0.068,0.039,0.017
"P10","Muy buena",0.076,0.058,0.01,0.056
"P10","Buena",0.158,0.167,0,0.002
"P10","Ni buena ni mala",0.378,0.297,0.374,0.296
"P10","Mala",0.1,0.135,0.372,0.163
"P10","Muy mala",0.051,0.176,0.056,0.371
"P10","No sabe",0.237,0.167,0.188,0.112
"P11","Muy buena",0.095,0.166,0.147,0.109
"P11","Buena",0.099,0.094,0.132,0.089
"P11","Ni buena ni mala",0.488,0.352,0.228,0.218
"P11","Mala",0.102,0.087,0.334,0.185
"P11","Muy mala",0.216,0.224,0.1,0.386
"P11","No sabe",0,0.077,0.059,0.013
"P12","Muy buena",0.145,0.002,0.005,0.004
"P12","Buena",0.003,0.141,0.013,0.027
"P12","Ni buena ni mala",0.451,0.382,0.594,0.298
"P12","Mala",0.115,0.034,0.122,0.132
"P12","Muy mala",0.017,0.169,0.058,0.303
"P12","No sabe",0.269,0.272,0.208,0.236
"P13","Muy buena",0.079,0.02,0.005,0.072
"P13","Buena",0.138,0.025,0.108,0.043
"P13","Ni buena ni mala",0.433,0.379,0.654,0.289
"P13","Mala",0.053,0.022,0.036,0.083
"P13","Muy mala",0.01,0.136,0.017,0.244
"P13","No sabe",0.287,0.418,0.18,0.269
"P14","Muy buena",0.079,0.03,0,0.039
"P14","Buena",0.142,0.038,0.023,0
"P14","Ni buena ni mala",0.45,0.346,0.555,0.272
"P14","Mala",0.017,0.035,0.122,0.076
"P14","Muy mala",0.011,0.142,0.004,0.253
"P14","No sabe",0.301,0.409,0.296,0.36
"P15","La seguridad",0.198,0.082,0.022,0.006
"P15","El tránsito",0.008,0.021,0.04,0.004
"P15","El arreglo de las calles",0.085,0.301,0.473,0.162
"P15","El estado de las escuelas y la educación",0.011,0.048,0.122,0.05
"P15","El sistema de salud",0.121,0.014,0.035,0.045
"P15","El deporte y la cultura",0.204,0.067,0.099,0.259
"P15","La obra pública",0.159,0.228,0.031,0.1
"P15","La luminaria",0.061,0.013,0.004,0.028
"P15","No sabe",0.153,0.226,0.174,0.346
"P16","La seguridad",0.258,0.346,0.482,0.333
"P16","El tránsito",0.141,0.059,0.005,0.016
"P16","El arreglo de las calles",0.272,0.309,0.221,0.196
"P16","El estado de las escuelas y la educación",0.014,0.09,0.015,0.069
"P16","El sistema de salud",0.103,0.145,0.005,0.23
"P16","El deporte y la cultura",0.16,0,0.019,0.008
"P16","La obra pública",0.021,0,0.184,0
"P16","La luminaria",0.016,0.003,0,0.014
"P16","No sabe",0.015,0.048,0.069,0.134
"P17","Agua corriente y cloacas",0.77,0.444,0.654,0.423
"P17","Energía eléctrica",0.079,0.105,0.078,0.145
"P17","Red de gas natural",0.06,0.137,0.146,0.132
"P17","Recolección de residuos",0.013,0.143,0.029,0.212
"P17","Ninguno",0.078,0.171,0.093,0.088
"P18","Los robos",0.703,0.479,0.748,0.58
"P18","El narcotráfico",0.125,0.242,0.018,0.147
"P18","La ausencia de patrulleros y personal policial",0.159,0.246,0.171,0.081
"P18","Otro",0.002,0.031,0.036,0.18
"P18","Ninguno",0.011,0.002,0.027,0.012
"P19","Muy buena",0.21,0.123,0.173,0.119
"P19","Buena",0.24,0.295,0.086,0.181
"P19","Ni buena ni mala",0.182,0.311,0.174,0.385
"P19","Mala",0.332,0.097,0.413,0.155
"P19","Muy mala",0,0.122,0.107,0.131
"P19","No sabe",0.036,0.052,0.047,0.029
"P20","Muy buena",0.277,0.05,0.049,0.161
"P20","Buena",0.298,0.164,0.133,0.186
"P20","Ni buena ni mala",0.224,0.482,0.374,0.306
"P20","Mala",0.15,0.109,0.299,0.143
"P20","Muy mala",0.009,0.095,0.107,0.167
"P20","No sabe",0.042,0.1,0.038,0.037
"P21","Al candidato del Frente de Todos",0.701,0.606,0.331,0.803
"P21","Al candidato de Juntos por el Cambio",0.06,0.142,0.055,0.064
"P21","Al candidato de la Izquierda",0.014,0.163,0.114,0.043
"P21","A otro candidato",0.05,0.068,0.433,0.01
"P21","No sabe",0.175,0.021,0.067,0.08
"P22","A Gustavo Menéndez",0.827,0.482,0.377,0.231
"P22","A Karina Menéndez",0.033,0.306,0.255,0.327
"P22","A Florencia Lizaraso",0.105,0.031,0.062,0.243
"P22","A Raúl Otahacé",0.027,0.134,0.029,0.031
"P22","No sabe",0.008,0.047,0.277,0.168
"P26","A Alberto Fernández",0.735,0.024,0.04,0.001
