"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Frente de Todos y el peronismo",0.418,0.357,0.48,0.47,0.349,0.417,0.514,0.374,0.464,0.407,0.503,0.453,0.355,0.357,0.275,0.436,0.693,0.154,0.042
"Cambiemos",0.24,0.277,0.204,0.266,0.224,0.261,0.204,0.236,0.227,0.282,0.215,0.179,0.459,0.247,0.34,0.186,0.108,0.523,0.073
"Liberales",0.141,0.206,0.075,0.149,0.204,0.076,0.058,0.144,0.141,0.131,0.119,0.139,0.081,0.08,0.276,0.183,0.052,0.175,0.495
"Izquierda",0.049,0.049,0.048,0.073,0.034,0.051,0.038,0.051,0.039,0.068,0.077,0.048,0.026,0.077,0.015,0.031,0.014,0.013,0
"No sabe",0.152,0.111,0.193,0.042,0.189,0.195,0.186,0.195,0.129,0.112,0.086,0.181,0.079,0.239,0.094,0.164,0.133,0.135,0.39
