"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.043,0.043,0.042,0.021,0.046,0.05,0.065,0.056,0.031,0.043,0.04,0.068,0.02,0.011,0.03,0.032,0.031,0.092,0,6
"Buena",0.083,0.076,0.091,0.119,0.074,0.056,0.082,0.047,0.103,0.111,0.137,0.077,0.059,0.051,0.115,0.058,0.051,0.147,0.115,6
"Ni buena ni mala",0.418,0.426,0.41,0.372,0.458,0.388,0.444,0.522,0.345,0.375,0.445,0.348,0.467,0.508,0.445,0.438,0.394,0.435,0.609,6
"Mala",0.108,0.115,0.1,0.073,0.114,0.133,0.115,0.075,0.122,0.146,0.108,0.117,0.065,0.106,0.088,0.129,0.14,0.062,0.019,6
"Muy mala",0.138,0.167,0.108,0.219,0.141,0.083,0.065,0.098,0.154,0.189,0.109,0.197,0.1,0.113,0.118,0.082,0.162,0.117,0.05,6
"No sabe",0.21,0.173,0.249,0.196,0.167,0.29,0.229,0.202,0.245,0.136,0.161,0.193,0.289,0.211,0.204,0.261,0.222,0.147,0.207,6
"Positiva",0.126,0.119,0.133,0.14,0.12,0.106,0.147,0.103,0.134,0.154,0.177,0.145,0.079,0.062,0.145,0.09,0.082,0.239,0.115,4
"Neutra",0.418,0.426,0.41,0.372,0.458,0.388,0.444,0.522,0.345,0.375,0.445,0.348,0.467,0.508,0.445,0.438,0.394,0.435,0.609,4
"Negativa",0.246,0.282,0.208,0.292,0.255,0.216,0.18,0.173,0.276,0.335,0.217,0.314,0.165,0.219,0.206,0.211,0.302,0.179,0.069,4
"No sabe",0.21,0.173,0.249,0.196,0.167,0.29,0.229,0.202,0.245,0.136,0.161,0.193,0.289,0.211,0.204,0.261,0.222,0.147,0.207,4
