"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Muy buena",0.087,0.117,0.118,0.175,0.102,0.407,0.115,0.211,0.203
"P07","Buena",0.13,0.533,0.254,0.01,0.231,0.089,0.015,0.071,0.31
"P07","Ni buena ni mala",0.255,0.082,0.167,0.197,0.193,0.05,0.535,0.264,0.117
"P07","Mala",0.202,0,0.164,0.338,0.113,0.297,0.067,0.022,0.029
"P07","Muy mala",0.311,0.267,0.285,0.28,0.303,0.157,0.268,0.432,0.31
"P07","No sabe",0.015,0.001,0.012,0,0.058,0,0,0,0.031
"P08","Muy buena",0.072,0.256,0.082,0.255,0.071,0,0.034,0.009,0.172
"P08","Buena",0.144,0.079,0.11,0.066,0.075,0.009,0.155,0.387,0.191
"P08","Ni buena ni mala",0.444,0.5,0.441,0.128,0.353,0.702,0.161,0.116,0.303
"P08","Mala",0.071,0.013,0.1,0.286,0.096,0.037,0.013,0.022,0.061
"P08","Muy mala",0.111,0.016,0.135,0.098,0.3,0.026,0.249,0.24,0.172
"P08","No sabe",0.158,0.136,0.132,0.167,0.105,0.226,0.388,0.226,0.101
"P09","Muy buena",0.069,0.104,0.114,0.225,0.08,0.302,0.015,0.081,0.255
"P09","Buena",0.11,0.215,0.257,0.103,0.208,0.01,0.147,0.179,0.147
"P09","Ni buena ni mala",0.323,0.376,0.221,0.105,0.235,0.113,0.294,0.256,0.178
"P09","Mala",0.163,0.055,0.106,0.235,0.069,0.052,0.058,0.038,0.127
"P09","Muy mala",0.242,0.249,0.18,0.253,0.336,0.134,0.258,0.423,0.208
"P09","No sabe",0.093,0.001,0.122,0.079,0.072,0.389,0.228,0.023,0.085
"P10","Muy buena",0.048,0.056,0.041,0.173,0.042,0.012,0,0,0.021
"P10","Buena",0.072,0.216,0.122,0.102,0.059,0.023,0.042,0.109,0.184
"P10","Ni buena ni mala",0.479,0.372,0.355,0.19,0.322,0.356,0.394,0.09,0.471
"P10","Mala",0.12,0.008,0.144,0.208,0.113,0.039,0.02,0.051,0.045
"P10","Muy mala",0.101,0.064,0.14,0.144,0.263,0.063,0.04,0.237,0.186
"P10","No sabe",0.18,0.284,0.198,0.183,0.201,0.507,0.504,0.513,0.093
"P11","Muy buena",0.048,0.063,0.088,0.312,0.044,0.307,0.254,0.102,0.068
"P11","Buena",0.101,0.118,0.081,0.046,0.094,0.126,0.019,0.307,0.224
"P11","Ni buena ni mala",0.323,0.273,0.236,0.12,0.311,0.3,0.135,0.223,0.234
"P11","Mala",0.187,0.091,0.231,0.187,0.146,0.027,0.132,0.039,0.131
"P11","Muy mala",0.291,0.093,0.305,0.259,0.372,0.24,0.172,0.222,0.297
"P11","No sabe",0.05,0.362,0.059,0.076,0.033,0,0.288,0.107,0.046
"P12","Muy buena",0.035,0.069,0.094,0.112,0.039,0.291,0.032,0.009,0.021
"P12","Buena",0.08,0.147,0.15,0.018,0.049,0.036,0.021,0.038,0.156
"P12","Ni buena ni mala",0.469,0.418,0.363,0.16,0.256,0.223,0.372,0.179,0.326
"P12","Mala",0.077,0.041,0.115,0.321,0.118,0.012,0,0,0.046
"P12","Muy mala",0.122,0.015,0.078,0.14,0.225,0.026,0.115,0.136,0.228
"P12","No sabe",0.217,0.31,0.2,0.249,0.313,0.412,0.46,0.638,0.223
"P13","Muy buena",0.024,0.131,0.07,0.006,0.094,0,0,0.009,0.014
"P13","Buena",0.018,0.186,0.068,0.031,0.068,0.01,0.316,0.036,0.029
"P13","Ni buena ni mala",0.43,0.284,0.457,0.171,0.301,0.468,0.27,0.23,0.365
"P13","Mala",0.079,0.046,0.03,0.325,0.069,0,0,0.009,0.067
"P13","Muy mala",0.103,0.01,0.071,0.109,0.134,0,0.02,0.139,0.159
"P13","No sabe",0.346,0.343,0.304,0.358,0.334,0.522,0.394,0.577,0.366
"P14","Muy buena",0.013,0.056,0.009,0.006,0.075,0,0,0.009,0
