"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.361,0.372,0.352,0.395,0.431,0.311,0.27,0.57,0.296,0.327,0.743,0.204,0.394,0.828,0.585,0.17,0.277,0.168
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.451,0.42,0.476,0.246,0.346,0.598,0.652,0.289,0.421,0.528,0.075,0.703,0.354,0.131,0.139,0.822,0.647,0.181
"En blanco",0.113,0.136,0.095,0.211,0.138,0.055,0.045,0.082,0.155,0.098,0.123,0.057,0.194,0.006,0.144,0.005,0.023,0.466
"No sabe",0.075,0.072,0.077,0.148,0.085,0.036,0.033,0.059,0.128,0.047,0.059,0.036,0.058,0.035,0.132,0.003,0.053,0.185
