"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.668,0.04,0.097,0.106
"P10","Juntos por el Cambio",0.205,0.329,0.714,0.597
"P10","De los liberales libertarios",0.075,0.425,0.032,0.049
"P10","De la Izquierda",0.027,0.038,0.06,0.036
"P10","Hacemos por nuestro país",0.011,0.097,0,0.052
"P10","Otro",0.013,0.027,0,0.107
"P10","En blanco",0,0.005,0.073,0.031
"P10","No sabe",0.001,0.039,0.024,0.022
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.641,0.023,0.157,0.1
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.238,0.283,0.636,0.688
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.065,0.595,0.041,0.045
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.048,0.023,0.052,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.051,0.021,0.139
"P13","En blanco",0,0.005,0.081,0
"P13","No sabe",0,0.02,0.012,0.028
"P16","Union por la Patria",0.645,0.105,0.093,0.067
"P16","Cambiemos",0.228,0.419,0.615,0.826
"P16","Liberales",0.053,0.337,0.144,0.046
"P16","Izquierda",0.059,0.048,0.082,0
"P16","No sabe",0.015,0.091,0.066,0.061
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.536,0.101,0.17,0.077
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.237,0.443,0.576,0.732
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.087,0.327,0.054,0.015
"P17","La candidata a Jefe de Gobierno de la izquierda",0.054,0.022,0.092,0.039
"P17","En blanco",0.031,0.046,0.108,0.096
"P17","No sabe",0.055,0.061,0,0.041
"P26","Totalmente seguro",0.674,0.713,0.658,0.693
"P26","Bastante seguro",0.155,0.127,0.119,0.184
"P26","Algo seguro",0.087,0.084,0.176,0.092
"P26","Para nada seguro",0.084,0.076,0.047,0.031
"P27","Tiene Decidido que va a ir a votar",0.975,0.887,0.877,0.833
"P27","Tiene dudas sobre si va a ir a  votar",0.016,0.063,0.102,0.134
"P27","Tiene Decidido que no va a ir a votar",0.009,0.05,0.021,0.033
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.803,0.061,0.179,0.207
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.182,0.509,0.663,0.709
"P28","En blanco",0.001,0.282,0.11,0
"P28","No sabe",0.014,0.148,0.048,0.084
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.521,0.343,0.623,0.656
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.579,0.089,0.155
"P29","En blanco",0.256,0.059,0.235,0.009
"P29","No sabe",0.158,0.019,0.053,0.18
"P38","Inflación",0.441,0.315,0.334,0.292
"P38","Desempleo",0.153,0.019,0.024,0.103
"P38","Corrupción",0.114,0.497,0.475,0.321
"P38","Inseguridad",0.108,0.059,0.145,0.138
"P38","Precio del dólar",0.002,0,0,0.018
"P38","Pobreza",0.093,0.057,0.006,0.066
"P38","Narcotráfico",0.002,0.015,0,0
"P38","Tarifas",0.009,0,0,0
"P38","Otro",0.067,0.038,0.016,0.038
"P38","No sabe",0.011,0,0,0.024
"P10_imputada","Unión por la Patria",0.669,0.039,0.097,0.106
"P10_imputada","Juntos por el Cambio",0.205,0.329,0.739,0.597
"P10_imputada","De los liberales libertarios",0.075,0.437,0.032,0.071
"P10_imputada","De la Izquierda",0.027,0.038,0.059,0.036
"P10_imputada","Hacemos por nuestro país",0.011,0.125,0,0.052
"P10_imputada","Otro",0.013,0.027,0,0.107
"P10_imputada","En blanco",0,0.005,0.073,0.031
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.641,0.024,0.168,0.1
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.238,0.29,0.636,0.717
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.065,0.607,0.042,0.045
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.048,0.023,0.052,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.051,0.021,0.138
"P13_imputada","En blanco",0,0.005,0.081,0
"P16_imputada","Union por la Patria",0.659,0.105,0.13,0.067
"P16_imputada","Cambiemos",0.229,0.424,0.636,0.876
"P16_imputada","Liberales",0.053,0.423,0.153,0.046
"P16_imputada","Izquierda",0.059,0.048,0.081,0.011
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.545,0.106,0.17,0.077
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.238,0.471,0.576,0.764
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.1,0.344,0.054,0.015
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.073,0.027,0.092,0.039
"P17_imputada","En blanco",0.044,0.052,0.108,0.105
