"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","La candidata a Jefe de Gobierno de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.651,0.133,0.067,0.258,0.159,0.124
"P10","Juntos por el Cambio",0.163,0.726,0.205,0.026,0.378,0.145
"P10","De los liberales libertarios",0.12,0.084,0.568,0,0.177,0.148
"P10","De la Izquierda",0.058,0.009,0,0.485,0,0.147
"P10","Hacemos por nuestro país",0.005,0.04,0.062,0.054,0.017,0.251
"P10","Otro",0.003,0.002,0.005,0.102,0.092,0.107
"P10","En blanco",0,0,0,0.021,0.173,0.018
"P10","No sabe",0,0.006,0.093,0.054,0.004,0.06
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.715,0.08,0.074,0.341,0.197,0.375
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.088,0.778,0.194,0.026,0.196,0.022
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.138,0.098,0.691,0,0.043,0.385
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.042,0,0.007,0.523,0.08,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.032,0.02,0.079,0.201,0.173
"P13","En blanco",0,0,0,0.031,0.189,0.018
"P13","No sabe",0.014,0.012,0.014,0,0.094,0.027
"P16","Union por la Patria",0.763,0.088,0.208,0.008,0.146,0.222
"P16","Cambiemos",0.146,0.813,0.159,0.285,0.199,0.209
"P16","Liberales",0.078,0.085,0.555,0.01,0.047,0.143
"P16","Izquierda",0,0,0.022,0.697,0.094,0.069
"P16","No sabe",0.013,0.014,0.056,0,0.514,0.357
"P26","Totalmente seguro",0.718,0.761,0.661,0.574,0.241,0.337
"P26","Bastante seguro",0.149,0.135,0.143,0.133,0.305,0.299
"P26","Algo seguro",0.087,0.083,0.134,0,0.228,0.208
"P26","Para nada seguro",0.046,0.021,0.062,0.293,0.226,0.156
"P27","Tiene Decidido que va a ir a votar",0.958,0.97,0.877,0.794,0.658,0.825
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.017,0.102,0.091,0.228,0.026
"P27","Tiene Decidido que no va a ir a votar",0.003,0.013,0.021,0.115,0.114,0.149
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.753,0.151,0.209,0.486,0.267,0.504
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.132,0.793,0.352,0.123,0.284,0.066
"P28","En blanco",0.058,0.02,0.266,0.293,0.317,0.229
"P28","No sabe",0.057,0.036,0.173,0.098,0.132,0.201
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.341,0.79,0.298,0.272,0.348,0.266
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.124,0.16,0.579,0.098,0.206,0.205
"P29","En blanco",0.345,0.015,0.09,0.535,0.268,0.172
"P29","No sabe",0.19,0.035,0.033,0.095,0.178,0.357
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.74,0.221,0.245,0.408,0.208,0.503
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.294,0.658,0.121,0.218,0.397
"P30","En blanco",0.133,0.303,0.086,0.392,0.405,0
"P30","No sabe",0.028,0.182,0.011,0.079,0.169,0.1
"P38","Inflación",0.475,0.296,0.325,0.322,0.366,0.441
"P38","Desempleo",0.115,0.071,0.022,0.094,0.021,0.138
"P38","Corrupción",0.15,0.45,0.368,0.158,0.251,0.334
"P38","Inseguridad",0.082,0.114,0.065,0.227,0.362,0
"P38","Precio del dólar",0.003,0,0,0,0,0.038
"P38","Pobreza",0.068,0.031,0.19,0.063,0,0
"P38","Narcotráfico",0.003,0.005,0.018,0,0,0
"P38","Tarifas",0.008,0,0,0,0,0
"P38","Otro",0.081,0.033,0.012,0.136,0,0.005
"P38","No sabe",0.015,0,0,0,0,0.044
