"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Union por la Patria",0.297,0.332,0.268,0.349,0.314,0.282,0.234,0.408,0.234,0.3,0.673,0.151,0.45,0.678,0.662,0.056,0.217,0.212
"Cambiemos",0.46,0.41,0.502,0.307,0.366,0.568,0.653,0.323,0.426,0.533,0.165,0.652,0.196,0.246,0.171,0.825,0.635,0.156
"Liberales",0.19,0.206,0.176,0.321,0.222,0.108,0.091,0.191,0.299,0.115,0.108,0.166,0.354,0.061,0.141,0.098,0.064,0.617
"Izquierda",0.053,0.052,0.054,0.023,0.098,0.042,0.022,0.078,0.041,0.052,0.054,0.031,0,0.015,0.026,0.021,0.084,0.015
