"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Unión por la Patria",0.331,0.362,0.302,0.296,0.302,0.454,0.296,0.35,0.325,0.311,0.61,0.192,0.24,0.631,0.125,0.225,0.113,0.314
"Juntos por el Cambio",0.222,0.197,0.246,0.155,0.212,0.275,0.301,0.147,0.257,0.276,0.129,0.545,0.182,0.142,0.625,0.239,0.021,0.059
"De los Liberales libertarios",0.103,0.142,0.067,0.14,0.115,0.065,0.057,0.08,0.095,0.158,0.042,0.107,0.233,0.036,0.088,0.261,0.302,0.294
"De la Izquierda",0.046,0.028,0.063,0.057,0.053,0.024,0.039,0.051,0.035,0.063,0.025,0.045,0.077,0.035,0.005,0.148,0.46,0.054
"Hacemos por nuestro pais",0.023,0.022,0.023,0.032,0.025,0.011,0.016,0.031,0.019,0.018,0.018,0.015,0,0.012,0.026,0.083,0.104,0.216
"Otro",0.044,0.059,0.031,0.06,0.047,0.014,0.049,0.051,0.043,0.036,0.032,0.006,0,0.034,0.006,0.017,0,0.063
"En blanco",0.063,0.046,0.077,0.062,0.066,0.056,0.063,0.068,0.075,0.024,0.028,0.037,0.044,0.037,0.056,0,0,0
"No sabe",0.168,0.144,0.191,0.198,0.18,0.101,0.179,0.222,0.151,0.114,0.116,0.053,0.224,0.073,0.069,0.027,0,0
